material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence,family
0b5574a75e,Cs2HPtI5,9,398.0926041856869,4.573450627592799,1096.4251938,10.914105465291916,5.379876381512589,0.2461222132961405,0.2763310954361018,0.2883171458842372,1.7025489330870414,0.3230975848959895,0.0189732116245747,0.3258048647648048,3.687070190404454,I4mm,tetragonal,194.33031493881808,moderate,wide,non-oxide
871f3f6ecb,Cs2Ni(PdS2)2,9,246.2133805250588,4.489040963347265,665.6043038,20.34855755003115,7.413102155265436,0.4549196768834662,0.2450783171873815,0.3375715419314264,2.0321959236064555,0.3252795851782202,0.0234827027171761,0.3261955510156673,3.690300967893225,Fmmm,orthorhombic,157.14975453800682,moderate,wide,non-oxide
d39a73b18d,Rb4NaBi2Au,8,343.1321987659056,4.741545156174964,979.78833828,15.43750585801531,7.333074746872424,0.5059835698946695,0.1770867995936498,0.2949577655046323,1.741897707394607,0.5202155986164347,0.0465885178934905,0.5212301047499912,3.711004424920435,C2/m,monoclinic,79.65491483125592,moderate,wide,non-oxide
46146298a1,CsK2Ag3AsP,8,237.73500441410832,4.474497452873435,640.6020139,21.69406137538688,10.58917414896708,0.1471531321792639,0.151096633727544,0.2900954656357554,1.7129502496525968,0.8459009509542725,0.1787816305675962,0.8743875834537316,3.776056995293056,R3m,trigonal,21.12105691901804,moderate,wide,non-oxide
3670d609fd,CsNaNi3S4,9,213.2958433957645,3.582999488425177,460.23542118,26.93331835548372,12.533895773191611,0.0270697656553936,0.1457698880214855,0.298563506266454,1.7638581326694087,0.9928900591574344,0.2210240912145838,0.9972049145935188,3.8007211602263,Fmm2,orthorhombic,17.19595877236896,tight,wide,non-oxide
bbac81b90d,Cs3Cu(AgP)2,8,256.6186770560756,4.788075912632662,739.9462797,17.240731783835326,8.363009417939152,0.2083875667961245,0.1986266384848556,0.2912212469767942,1.7195858296039093,0.584933115208675,0.0714251003261816,0.5933565961814382,3.8132769710597874,C2/m,monoclinic,53.388472030777,moderate,wide,non-oxide
89fc3780f4,CsMgAgTe2,5,172.271895513547,5.014996936264861,520.2786519,19.1841803580945,9.52546721107754,0.1119717825552536,0.1436149924622575,0.2869912780380729,1.6948573921090182,0.9971857909695424,0.2267814695533565,1.0029021433651404,3.852896594624789,I-4m2,tetragonal,16.989468329193848,tight,wide,non-oxide
7ddb4f1e81,NdGaSnI6,9,414.3341917912732,4.384863362668643,1094.10182,4.491485101777728,3.46650300284276,0.1788579128946076,0.3328391759631566,0.1930660940382183,1.2595699445809254,0.266417445941161,0.0102688548178928,0.247633187939764,3.90946221337318,R3,trigonal,380.7106325586762,moderate,wide,non-oxide
1f9b804fdb,ErInBr6,8,297.172283014081,4.255114739155308,761.501,8.133751072822562,4.050595830799223,0.1521935672160655,0.3323071161449211,0.286449951436271,1.6917325039967477,0.2257064385165139,0.0079857199301945,0.2280228234860379,3.9240606393791047,C2,monoclinic,491.3847059101063,moderate,wide,non-oxide
a5b82da44f,AlIrBr6,8,241.0191703952035,4.8132686618709615,698.6225386,6.313207638000768,3.327080698140753,0.6054142140362354,0.3809194814106991,0.2758706841326296,1.632399949277249,0.1561274774966231,0.0026807540938865,0.1513142762636029,3.931039555053917,C2,monoclinic,1466.3931928775708,wide,wide,non-oxide
02028ee042,CsRbPd2PtSe4,9,272.71054098177854,5.736689566280476,942.1372519,17.622822673785443,6.280521496197801,0.421740071588923,0.2831459785528519,0.3407279258506888,2.0567176557383404,0.2266345976474454,0.0106348748254711,0.2204211272716547,3.943233310295731,C2,monoclinic,370.7832367571884,moderate,wide,non-oxide
9dc733aa85,K2Os(Cl2F)2,9,226.9134909771998,3.2801593294213687,448.2354064,18.028641697242737,6.099124688240367,0.0888127298379076,0.2793179509665791,0.3479907042395516,2.114986480268108,0.2547533269719955,0.0171424602701607,0.2557044240776818,3.975285520087701,I4/mmm,tetragonal,231.89702396495144,moderate,wide,non-oxide
fa02cd6824,RbCu(AuSe)2,6,183.5408912687681,6.340913594884401,700.866938,10.1005462293856,7.288851408238443,0.3649939009638653,0.1916341359536728,0.2091477901905269,1.3214184729420513,0.7273190863992021,0.0763077522917318,0.6783965261711971,4.060265821629726,C2/m,monoclinic,53.20908688421249,moderate,wide,non-oxide
c681f7a9f5,AgAu3S2,6,156.46835682918203,8.096344883034705,762.897907,50.74970100174491,5.722888808464713,0.1699667504269561,0.4231400843637442,0.4456591442942569,3.270610721245592,0.0623111373795651,0.0025123047036112,0.0675103209072152,4.090857574879471,R-3m,trigonal,1628.3285896806838,wide,wide,non-oxide
9cd1174d5f,ScAsI6,8,348.3063622694481,4.201589271465366,881.304332,5.551934966151794,3.160949302028228,0.285972711744567,0.3772092490300166,0.2607366017121699,1.5528987756222168,0.1890867938186724,0.0042623269552433,0.1888501987727573,4.100524596904881,R3,trigonal,962.0389613379136,wide,wide,non-oxide
3b9554aae1,TmGaSnI6,9,403.4390439426208,4.604911757508726,1118.79403,5.743317472280869,3.5712775455611565,0.3441199242364912,0.3529650910611744,0.2424711746361225,1.4645030392574971,0.2207216639348092,0.0052040214418926,0.207989738866026,4.302874368537615,R3,trigonal,826.8364026902884,moderate,wide,non-oxide
c19de2f1bb,MnVCl4,6,150.96893239006852,2.724411446793232,247.691545,9.343028082352433,6.091709106392753,0.0517554933982653,0.2098976110679267,0.2321995545374618,1.4180584906631806,0.7230140293969445,0.099887767790386,0.6736272572925018,4.3354508161978496,P2/m,monoclinic,43.40322055545151,moderate,wide,non-oxide
fddc1971c1,K2Rb2LiAgAs2,8,261.57488473106326,3.2616258330252363,513.7846,15.067802600636911,8.909870279851122,0.3509795817889611,0.1333620253951364,0.2530217001530886,1.5146101144590594,0.9583153706700724,0.1418921756494013,0.9208906852622928,4.343493067347237,P-1,triclinic,30.61122325785947,moderate,wide,non-oxide
c642751c94,MnPbCl6,8,260.9481429074416,3.021738365522765,474.856045,8.926434257391541,3.495465763152864,0.1515736550740135,0.3778820085821158,0.326812923817699,1.9520351794497373,0.1593034859534693,0.0038151170882551,0.1698031447589132,4.601574199632178,P312,trigonal,1206.1423262206404,wide,wide,non-oxide
0a7c624c48,Ru(IF)2,5,143.35853838054362,4.550726684981649,392.8757464,18.41628577208736,6.32881991821921,0.2749005206149098,0.2702585227308609,0.3458332580298603,2.0974019877608607,0.3592645997516568,0.0231779908283609,0.3556686406755443,4.766037051802599,Cmmm,orthorhombic,205.62770462273173,moderate,wide,non-oxide
863fc75f1b,CsK2Cu3AsP,8,205.25484447495708,4.1068382074225385,507.63541390000006,26.55740724928319,11.043101873832502,0.1809258341182017,0.1858894636905423,0.3173996172925563,1.8859489030719447,0.7557749545977084,0.1146829822594927,0.7601185107034132,4.766968294874511,R3m,trigonal,41.566483544073776,moderate,wide,non-oxide
18e6fdcbe4,VHg2F6,9,154.54959220641763,6.082519829346056,566.1119192,15.223743653856438,8.42978071987192,0.3998783916164024,0.262653226010363,0.2662766242845418,1.5813038415626115,0.4513282018264097,0.0229841851597496,0.4043851885476274,4.792598673802287,P-1,triclinic,208.5172321964745,moderate,wide,non-oxide
6d5ddc5b7b,In3HgAsSe4,9,278.6763547038572,5.576152168939697,935.8056,29.625251404547587,12.896798010947933,0.20124529660673,0.1794794017570072,0.3099173441800781,1.835907262626017,0.8462424222594946,0.1308553300357325,0.8722930651613108,4.965084679366856,P1,triclinic,37.94331249641145,moderate,wide,non-oxide
3dc9a53ee3,Rb2Ru(Cl2F)2,9,242.47981287062137,3.094094575734468,451.8144064,20.17089875962376,7.27891031304855,0.2554175992069316,0.2752173513795584,0.3389422228138462,2.042786627498496,0.3753479865755696,0.0222255336860727,0.3902528903288229,5.266976189379133,I4/mmm,tetragonal,236.97861494680797,moderate,wide,non-oxide
