material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),in_training_set,verified_perovskite,K_r9_pred,G_r9_pred,gamma_r9_pred,K_r9_spread_log10,G_r9_spread_log10,Kappa_r9_gamma,Kappa_r9_p05,Kappa_r9_p50,Kappa_r9_p95
JVASP-100873,YbBiO3,10,149.3178284567878,9.56433257893152,False,True,178.31787881715138,92.43735965284449,2.0765466937423995,0.018135597667595878,0.09580953632158534,7.095394782015695,3.7369291911317464,7.009680668701669,13.73801856143191
JVASP-38663,NaReO3,5,58.64061315067578,7.283046200791598,True,True,182.53391912757132,98.15062129931178,2.139811339794589,0.06358344919503366,0.0255941005499919,12.223742673084983,10.871512453934335,12.20221038830084,13.745408586670079
JVASP-36588,MgIrO3,5,60.09962254806939,7.308633698443123,False,True,189.66522199280826,102.66084443098123,2.144284447578397,0.05676253334899215,0.013321962635421694,13.0994468932966,12.443040178883777,13.10420594426118,13.752545553263033
JVASP-41248,CeFeO3,5,53.24592188822723,7.60816544171878,True,True,173.63890791865396,89.74965167944731,2.104602657944559,0.0470357537694036,0.04292877283363852,10.49887965036037,8.013717210182106,10.553150712044475,13.75326100682064
JVASP-35638,RbOsO3,5,62.68360814391528,8.574966731638348,True,True,175.18603474034035,97.61030611642587,2.10854548752826,0.10211908109721789,0.04322785655385256,11.775920418279156,10.066438949082572,11.768709486587165,13.760659323879366
JVASP-39156,ScCuO3,5,51.048553356485286,5.090732903860846,False,True,161.56972158557642,81.99642445069097,2.0561330902551425,0.07206185394427433,0.03712646586249173,11.60581464106664,9.787515244520621,11.58690611741078,13.76122569774011
JVASP-180222,BiAsO3,5,65.7816463172823,8.378222193225447,False,True,180.9299397465234,97.7853766121405,2.1257140460304806,0.08149981451422109,0.032524348587880815,11.941326232041295,10.237052955659356,11.93430168450521,13.761847629891209
JVASP-39448,RuPbO3,5,62.88256921081908,9.407969053084088,False,True,186.70243965395915,100.01927102184413,2.136810336044405,0.07332475397570525,0.035790970818128084,11.359264836040811,9.37237587235773,11.344083528296649,13.766397955665031
JVASP-8623,FeBiO3,5,60.73536033975318,8.552773978360715,True,True,173.5948479466565,86.49338816158622,2.143550391339497,0.08025159349974331,0.06606251864029476,9.422577202724915,6.402241182441707,9.424561426518931,13.773215594416225
JVASP-9598,NaNbO3,10,123.37418485824942,4.4118300836978195,True,True,170.02334493493524,86.11075591438728,2.156472140398517,0.10914906699001949,0.0890460880335837,8.143673842936199,4.80717987651421,8.203966505761109,13.784365302453082
JVASP-136057,SiBiO3,5,54.438161241564366,8.695372224201797,False,True,172.5452968601183,85.9140730630196,2.1353361558800565,0.06789452031234268,0.07575564848999103,8.993197100650985,5.811530686302619,8.934350137190185,13.786368445699365
JVASP-179253,CdPtO3,5,63.01118506204496,9.368342251524595,False,True,193.6051615370687,104.77520184076833,2.1125206098396223,0.059156890965245366,0.024477262679034526,12.510411261949967,11.351616557631155,12.514157386678969,13.791499707598078
JVASP-46422,ScFeO3,10,108.60948116176336,4.550003116736942,True,True,179.32016841296385,84.63246770078433,2.1139992463975155,0.09744192477866365,0.10685934057598391,7.82583840867957,4.391526963511069,7.709441452408203,13.802507320192468
JVASP-41734,TaTlO3,5,67.53293748525189,10.654954337770677,True,True,174.7813261257545,94.71111979285251,2.1196124678812964,0.11160495789244541,0.05891420711703031,10.243856066154581,7.428516298322387,10.292711985879725,13.805833899405755
JVASP-106989,VBiO3,5,58.75626832226576,8.702277574050603,False,True,177.81524019211648,96.67246796530952,2.1038669909334353,0.04675436097038984,0.021230620731164808,11.3351887696239,9.340507283607183,11.365498094706629,13.81588597772227
JVASP-57153,FeBiO3,5,56.64918906120398,9.16969541998175,True,True,176.46756239294993,93.34519745409823,2.1152947196860117,0.04864412656669877,0.04859853017465798,10.2396471804793,7.367101412027686,10.21351304019356,13.826741642270171
JVASP-186587,ScHO3,5,38.50432661723349,4.052211064303066,False,True,117.64835842341431,69.47290698853617,1.9130467558515356,0.10839448213948283,0.06406756600767757,10.616743300972058,8.079380576868134,10.596418318157705,13.838973045323257
JVASP-135987,CdBiO3,5,76.2338505250454,8.046108890317864,True,True,162.53808661758438,76.51399917836095,2.099038797302424,0.10698319695410964,0.07808215103219392,9.127540182709339,6.040236731126666,9.053898718009638,13.845084854376564
JVASP-92440,FeBiO3,5,60.75378589892428,8.550180071813434,True,True,173.61108146166086,86.50563965853648,2.1435199898948905,0.08028053863197453,0.06606310742231862,9.427237667042506,6.549197781256104,9.434686925632928,13.85007445942277
JVASP-97457,FeBiO3,5,56.434337273967266,9.204605468448081,True,True,177.6924866932995,93.39355067432918,2.1208109212542685,0.047749164473474694,0.048496907414127835,10.160573680592936,7.527471688025681,10.206323326889992,13.851564540157453
JVASP-178873,TlGaO3,5,59.139135897198436,9.044215787236078,False,True,178.37430253695726,97.24679625600868,2.0954224985653376,0.04823662493514338,0.016488890974502693,11.33697839469474,9.31438705071001,11.31372627038174,13.857679726304172
JVASP-183149,LiInO3,5,48.69348666748917,5.789038372942651,False,False,135.33053444679692,72.64973410447726,1.9773749734393142,0.06375060097521366,0.05063698221119254,9.654208591913132,6.830056187491637,9.702863530375485,13.858570665137051
JVASP-105781,LaZnO3,5,60.11666543356856,6.969366033475428,False,True,184.2843312624905,101.98642742213765,2.1097037371702245,0.06876437591956397,0.01429730699019442,13.74370308659079,13.620624683040065,13.744108636880874,13.865003690072987
JVASP-86503,LaAlO3,5,55.106180760245834,6.445098176729812,True,True,172.15944151640883,92.08293604081663,2.0961376944244754,0.0658342663596209,0.02449879200619971,12.083393046905021,10.574971572928682,12.087040893279484,13.869327313979088
JVASP-179521,LiPbO3,5,57.507688091714236,7.569290255612811,False,True,177.26600097142745,87.5760745634932,2.1451900844544745,0.05063903700055007,0.0562919448862767,10.006231593450197,7.240205801070831,9.988405626684083,13.886857922179514
JVASP-156995,BaTcO3,5,65.69908575744819,7.161021472147898,False,True,177.17522497027974,96.23019702450834,2.123980174144206,0.08350196426644635,0.022003656868439414,12.624238317152853,11.410706135541227,12.619501608450213,13.887179566620352
JVASP-184107,InGeO3,5,55.71370273968414,7.017738902515058,False,True,175.49618588159143,84.88384829654768,2.142670205311572,0.050853014627809015,0.06355035842959235,9.841684438948965,6.933173875147627,9.823688215778898,13.887790862670444
JVASP-8615,SmCoO3,5,53.38931110260601,8.002396072751978,False,True,173.2201404692903,91.02700675019699,2.094178519800216,0.05043566571816182,0.037318153109312205,10.571263770262624,8.065643884101043,10.650618520237597,13.899470063607204
JVASP-39266,LuUO3,5,73.15462090848482,10.46411997889552,False,True,168.37464217982722,86.09018673658369,2.0720424453959363,0.08927582871476505,0.060674521500874816,9.660669533515819,6.7317015439258014,9.587757194467445,13.91330579556519
JVASP-122267,CaFeO3,5,52.71277324174339,4.533754548443957,True,True,165.06535751826914,83.08140795077094,2.0956520876125393,0.03774163414943703,0.03412291848203925,12.189172607097042,10.662273571704967,12.205347761320354,13.924173246378537
JVASP-49836,CeTiO3,5,60.603847209548796,6.465860175109197,False,True,173.25860837533259,95.31423481739427,2.127582675393565,0.08824494154608387,0.026906507868719783,12.698931256384288,11.54982332021857,12.669541825799927,13.927386693523902
JVASP-134208,TiBiO3,5,65.96204350829132,7.674232056269286,False,True,171.9487557728772,77.80989719965201,2.138053024216854,0.06574101454000157,0.08499070451041092,8.791298673620064,5.582805298532743,8.9223618184361,13.993393845017525
JVASP-173002,KOsO3,5,60.4474560828729,7.618376652037851,False,True,173.69467155473203,96.90742485771032,2.112665107307811,0.08707862948152872,0.03241076683904395,12.159396944390542,10.583271825707882,12.118333605291461,13.99962425561783
JVASP-106606,SrPtO3,5,65.76752355852386,8.349773468194138,False,True,184.83575855961797,99.63786448216587,2.135568911125949,0.07805623149612431,0.031282990290081615,12.182375497322706,10.506079371003104,12.208474237640804,14.004307698007295
JVASP-134235,ZrBiO3,5,76.8401028662921,7.524768963488298,False,False,161.5213438553287,65.37038610657491,2.0640817591075087,0.13056365540021292,0.10281543927387216,7.76213318751983,4.237075812853062,7.745575249775147,14.01158942202959
JVASP-36633,VZnO3,5,53.02461911109459,5.1468061789266235,False,True,169.20908030353226,84.12161558146826,2.115769406040405,0.04727870740782386,0.04057749095702925,11.449256064373516,9.318444237649858,11.449817620493528,14.014949848113751
JVASP-183392,YPtO3,5,68.01627327793975,8.105106335168276,False,True,192.7305912489785,100.14889321261134,2.0858363081633304,0.04999816681938248,0.0275818284377834,13.25498426346562,12.548113031944613,13.25837673635866,14.018383616127158
JVASP-179216,BiPdO3,5,64.47691163917287,9.358971413950503,False,True,183.15277515747158,100.14204848061469,2.1023164412624533,0.08839397519326159,0.03989035419526833,11.903403389710132,10.130656852680724,11.911622070605848,14.030464640508386
JVASP-38624,NiAsO3,5,51.13559738764032,5.8975709571836115,False,True,156.06955003390084,80.14983084939217,2.031805745702445,0.012881866377190484,0.03632493340112699,10.680115698439575,7.987462923464788,10.592172695048504,14.039146510553852
JVASP-134215,TiBiO3,5,126.91813769630937,3.988460892797031,False,False,60.16385663307744,24.0228655609046,2.0237738758150083,0.28373944426098424,0.2888328245977509,2.9246719149492306,0.5923625467664384,2.928695204187801,14.03934046911843
JVASP-36603,SrIrO3,5,63.739795872102505,8.540710717987508,True,True,189.08240136936024,103.08190630141897,2.1397063464249815,0.07777192378021995,0.027560276400923758,12.488549675545457,11.080960332928719,12.527658285269109,14.063563473233751
JVASP-57097,FeBiO3,5,70.62707271697327,7.3549106524892895,True,False,132.25844835462308,59.71615189432031,2.096788935000527,0.1534366959561156,0.15343051566754853,6.43703191905461,2.876631210393012,6.463472126664794,14.065585535026262
JVASP-115455,MgAuO3,5,69.60378667128332,6.423974799176244,False,True,163.4212144863665,82.64981603219599,2.0693604948651676,0.050275286981789014,0.029932134941450576,11.441819905347794,9.326489586828973,11.47698181016302,14.07024571980523
JVASP-136063,TaBiO3,5,68.08042388937501,10.68139690987004,False,True,183.74422618575517,96.27823879998675,2.1246365831738725,0.09182749075833838,0.05184575595914833,10.470110221935522,7.756780391033613,10.447831872498254,14.070671657641752
JVASP-110400,BaPtO3,5,69.64651109180605,9.069863355307685,False,True,174.03342933967107,90.08792311031848,2.1019336740249916,0.0844274771584315,0.047369049454608604,10.603305672772253,8.033264559460967,10.637672301548934,14.075042819310783
JVASP-107482,YbSiO3,5,44.833974039420525,9.226923236387101,False,True,129.14550666389206,77.96438328257622,1.9760715703938072,0.08125247063434698,0.08487468867004916,8.257479936023804,4.880849706679823,8.384528151532406,14.096067808167476
JVASP-9604,NaNbO3,10,123.84333974289895,4.395116777691154,True,True,175.2595647637294,82.1903349924788,2.1495765440443613,0.08077457026470593,0.10121345838126877,7.683974038620245,4.280330749806423,7.562961570103612,14.108090685533709
JVASP-151525,FeBiO3,5,56.482265024775884,9.196794945322106,True,True,176.4965451229056,93.1578136173827,2.1150248268870526,0.04820852304468173,0.049526752371533665,10.187023121347712,7.360469770693309,10.187516064768062,14.113883263318613
JVASP-92596,PrVO3,5,58.997242705931555,6.750754390965575,False,True,181.9263298231608,100.1700717785541,2.122144343413256,0.06119647418926226,0.006588603666716673,13.342684462322342,12.611447615144021,13.349916787995726,14.135860345582348
JVASP-93231,SmCuO3,5,54.981887640356405,7.909916794035669,False,True,164.5897964609361,84.88084268486408,2.1105379863092186,0.08812253611833085,0.07088078809318744,9.51603470668272,6.478353949432113,9.560195886371234,14.150333262860466
JVASP-17347,YNiO3,5,52.05900718356852,6.239020393931801,False,True,177.12847480783688,93.2856617294708,2.0559548208391356,0.04881413812966968,0.02941322474164352,12.796296417718201,11.58637234155094,12.798089606019564,14.163372897114984
JVASP-38304,RbIrO3,5,63.80301488927127,8.476234963530093,True,True,173.55970568142092,96.60182953447033,2.108561742294307,0.11105962243100878,0.05095674824077884,11.730303860227675,9.576061652285192,11.69495483134367,14.16457834182178
JVASP-36920,NiBiO3,5,58.22670504779935,9.002496166214467,True,True,184.1004591477375,89.67042656690516,2.1313124630317843,0.07388534941309328,0.0729133851870275,9.682372306226855,6.8263580049638914,9.699020364305376,14.179135483701003
JVASP-92369,MnPbO3,5,57.7819984097097,8.912695401412513,True,True,187.90707881486324,97.94244231062008,2.123362418259425,0.047708987965033874,0.03794396424523333,11.150689911163331,8.74326073170002,11.14296520729609,14.187171099771751
JVASP-38320,NdGeO3,5,61.77204700269549,7.120436217115329,False,True,169.05337749925383,93.8680612435674,2.1159545099805137,0.09005479705082246,0.03288255470452013,12.038835663626102,10.246580584603016,12.074145475156934,14.202533717433838
JVASP-7885,NdVO3,5,58.32240496736456,6.923800791862815,False,True,175.76773985279033,96.4146653537733,2.1084969344240823,0.05381543142603929,0.00713480996835822,12.564785238853798,11.10126389721572,12.564966261844814,14.203231508272324
JVASP-7893,NaWO3,5,59.85492917319215,7.069623248882014,True,True,184.3054956089409,100.87640203718423,2.1460955826696364,0.07085274141607202,0.02167074087785869,12.928679859498518,11.765821105120077,12.932322842571446,14.231342978498388
JVASP-92467,KTiO3,5,74.93504759140626,2.990752282565924,True,False,122.08141153364514,55.698096180694684,2.105407855029157,0.08120537072389704,0.09299331545185716,9.191604391919494,6.048650373855096,9.239413775490572,14.25068819804314
JVASP-134201,TaBiO3,5,68.11064608032893,10.67665733925014,False,True,183.72526327839915,96.21866352298704,2.124594804834336,0.09178003758085419,0.05195153808739861,10.464822406879613,7.785368329871916,10.456579374496549,14.259500513927446
JVASP-35958,CaFeO3,5,52.88976009874327,4.5185830867765215,True,True,167.18634675645512,83.29835318998761,2.1088851251745724,0.040519074378144324,0.04189064772800007,12.112607894398582,10.180527061311436,12.043400452993012,14.264039270398822
JVASP-57196,BaPbO3,5,101.63725523478416,6.413036525139893,False,True,123.28692370726489,40.95744162001754,2.089642353808322,0.09947956435935507,0.19366175242177208,4.472525252145202,1.3217560219491946,4.407782462146449,14.266840132033863
JVASP-137080,NaWO3,5,59.83042408109711,7.072518795277544,True,True,184.30572958751304,100.85410521107852,2.146042736039434,0.07060803079057636,0.021621832055397437,12.920738559042793,11.693158273151958,12.92828576501676,14.290869857924827
JVASP-11418,CuSiO3,10,117.38598169447548,3.950396268526345,True,False,123.7778721741008,51.70266121754768,2.0483953862661544,0.11375161225624773,0.18462724722565943,4.405118726265972,1.3805861823956596,4.395779030754511,14.311269541139277
JVASP-39254,KReO3,5,60.816859483614905,7.4622587104295794,True,True,166.45698440671774,93.24701330707973,2.104757646448206,0.08867499426489453,0.03586527689689978,11.71108160939704,9.521560449792538,11.628354499907662,14.318376511204086
JVASP-138471,CaPbO3,5,82.98061085965587,5.908822086782466,False,True,152.78964519127624,80.761554140411,2.0161348007232274,0.09146593121644166,0.028744993879354714,12.873521977975459,11.570785478636129,12.878713457200726,14.327783149932127
JVASP-179423,LiGeO3,5,51.33882151130054,4.1265116678793765,False,True,156.37648558740892,71.46505142893471,2.1017488239953455,0.053465058333045413,0.04471951252258015,10.063452350322727,7.2164826679794745,10.104895695084386,14.33963573569111
JVASP-8389,CaWO3,5,63.08940457145609,7.156946188339074,False,True,182.2160922482295,92.91127947444122,2.1574636107519605,0.0561822521056018,0.042578646209607836,11.447807160342771,9.132486419570585,11.355942583713457,14.342176524233635
