material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,family
f14c75446c,CsNaCd3O4,9,166.27950338054987,5.563699515365175,557.12582118,58.50105710315311,22.110581317011903,0.0229370449027912,0.030449006616155,0.3321681991525769,1.991291931847884,1.3746146410101745,0.998579882092567,1.3811677997308764,1.858888930137312,False,54.17196273803711,17.443864822387695,0.8077340105124173,True,True,Cm,monoclinic,1.3746146410101745,complex oxide (4 elements)
fd8664f05c,K2CuNiO4,8,143.5658290357262,3.058543435331631,264.4336,35.14107401902223,17.130133764600227,0.0766706371593258,0.0260848913382666,0.2903345814186384,1.7143563251698577,1.7769312032837392,1.21299625977184,1.7961181112332754,2.604779630757099,False,37.10078811645508,14.189146041870115,1.0342522101262648,False,True,Amm2,orthorhombic,1.7769312032837392,complex oxide (4 elements)
22d8624912,MgAg2SnO4,8,111.9227436248718,6.272105276472709,422.749,117.90205143707986,35.66792486781482,0.0080928384178084,0.0858320803021864,0.3625951490799692,2.240583333642,2.0465700274417373,0.8533911970611302,2.056870741470747,4.697639250575078,False,112.71965026855467,34.742088317871094,2.008476496321948,False,True,P2/m,monoclinic,2.0465700274417373,complex oxide (4 elements)
f2a82c7c30,MnSn(HO2)2,8,88.12480484427996,4.515951283894147,239.661525,81.87678872427375,30.950326662901706,0.0701775810338082,0.0335385473030635,0.3321448633367647,1.991118142489232,2.3009062857199347,1.4616583853673992,2.290255512863257,3.555286068716711,False,105.50958251953124,32.580604553222656,1.9890471159085144,False,True,C2/m,monoclinic,2.3009062857199347,complex oxide (4 elements)
1d6e1a018c,KNa2MnO4,8,123.40085549958494,2.7452999305907366,204.01348356000003,40.80274318728279,18.773792799819187,0.0289871008957977,0.0450104673337579,0.3005362954244327,1.776056287015849,1.926063231402812,1.2054720497430436,1.9392792350630423,3.0815271130209325,False,34.95022201538086,19.010122299194336,2.332197602230932,False,True,I-42m,tetragonal,2.332197602230932,complex oxide (4 elements)
cdbe450754,Cs2In2As2O,7,220.1190956871737,4.988649683020692,661.2895038,16.845530644360647,13.497612960107572,0.1873106949847629,0.0301402899960326,0.1838186798144392,1.2258709905077634,2.0648599038479665,0.9873329303224092,2.0570129863245565,3.624186489450759,False,28.84482383728028,17.555173873901367,2.378254559656453,False,True,C2/m,monoclinic,2.378254559656453,complex oxide (4 elements)
8e7b4d3c51,MgMn(AgO2)2,8,99.48008148769478,5.992108160282187,358.977045,123.5950169196906,41.42060405582822,0.0223581007757783,0.0574689507889939,0.3492720675759722,2.1255435212847185,2.821425961991688,1.5876688215956425,2.8345395180475528,4.924530511033375,False,120.83580017089844,41.032752990722656,2.822588571843173,False,True,P2/m,monoclinic,2.822588571843173,complex oxide (4 elements)
19b093ea69,FeCu2RhO4,8,95.20305788441978,6.101937971678839,349.8401,158.8414979451473,45.43023434479922,0.0125944189784653,0.0232007895079759,0.3694420266010753,2.3037155100917404,2.655614686999108,2.1213115889975014,2.6688784723276693,3.370881297592784,False,153.35707092285156,47.85391616821289,3.161856546801315,False,True,P2/m,monoclinic,3.161856546801315,complex oxide (4 elements)
e294418a92,K2CoGeO4,8,126.31672537207253,3.5989015219869045,273.767395,65.99980408983478,21.90678848248982,0.0328326649647437,0.0860186113687916,0.3505718228437143,2.1363395342193274,1.5003037564357813,0.6161876092459225,1.4966713360989483,3.594972316914393,False,56.13627243041992,27.380170822143555,3.173820640114354,False,True,I-4,tetragonal,3.173820640114354,complex oxide (4 elements)
28f70a0f4d,BaCaOsO6,9,154.80250675373173,4.973291902196648,463.6314,49.127541222836015,28.750454062877026,0.0529223681730375,0.0752301357736569,0.2551528557282968,1.5250434157558252,3.323147433145151,1.627697802829528,3.392295392542323,6.800916570113433,False,74.95123291015625,31.49586296081543,2.7069685598506603,False,True,P312,trigonal,3.323147433145151,complex oxide (4 elements)
