material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,id_unverifiable
19aab8b004,Ag5BiPtO6,13,195.3969747529831,8.833132137218115,1039.4018,95.01136854727996,23.033644673721422,0.0137159120280663,0.0129349925211696,0.387847829007771,2.488798534311464,0.5191814913054261,0.4550694797559212,0.5178417917278386,0.5953914303150771,False
19ac2707d4,K7TaP4,24,747.7742754583364,2.5694207626696453,1157.062056,15.55902108309544,8.880285776402541,0.0249219167201618,0.0795157916673794,0.260240024079539,1.550390515810458,0.490806063128445,0.2299616177429131,0.4903751653692848,1.0107307420152325,False
19b621efaf,CeZr(PBr9)2,22,935.9774513448184,3.071999475661765,1731.559524,4.022470088111906,1.7840684679427363,0.0307529146230283,0.0428582605454036,0.3068002158009372,1.8156738599238311,0.0366579284269958,0.0235041827275257,0.0369294769777125,0.0564394820603019,False
19b7f433f9,Er4Zr3VF28,36,541.5149659533989,4.67822039304503,1525.6047896,44.03464070440364,24.399358854641687,0.0618166028232951,0.0997338947924684,0.2661452331502216,1.5806210694317746,0.9628995359480372,0.3691597433042927,0.971611751794707,2.426558251894639,False
19bae15d36,GaTeBr8,20,991.3958624387908,2.8023765549780792,1673.11,2.3447462450384133,1.4301878489121953,0.03469071417461,0.0346009080299027,0.2465532068744635,1.4835911321325372,0.0427396747868924,0.0300782884133403,0.0430718582104483,0.0614113138427387,False
19bb7e4b0a,RbLu2InS5,27,720.8989613798658,4.910067001731572,2131.6344,41.99436310334545,20.700954391744087,0.0042292449531896,0.0416268755005667,0.2883107746146814,1.7025118435814797,0.9563063657010208,0.6496126573177239,0.9579738260190463,1.440664178317384,False
19bbbdb405,La2TbCBr5,18,596.711753929173,4.721142053914906,1696.5339800000002,11.304862217342126,7.906951623259609,0.0488107991194476,0.0655279000036509,0.2164038453865716,1.350770914116717,0.4570424820335105,0.2477224923783714,0.4647601738012576,0.8365176975545863,False
19bbc4d25d,Cs4NaFeS4,10,350.60359509689494,3.498731199345161,738.71657688,16.44044971404419,8.310307930557043,0.0049408679070507,0.0821767762362914,0.2837046073460435,1.6760206084427045,0.6279043604034669,0.2837463370565504,0.6163051107589476,1.3170058118015129,False
19bbf450eb,Si(S8Cl)3,28,945.0583398721536,1.5884043634095244,904.0045,1.0074334021758398,0.9903370138664096,0.0360537995352394,0.0434335003174742,0.1297932159803423,1.0521969511958968,0.0349671109302119,0.0237141640312786,0.0349513195205372,0.0513929450471542,False
19bf64a631,KRbWS4,28,874.9279653357551,3.315020883323434,1746.6644,12.47894115883249,3.7076556027143934,0.0571683206201253,0.2221497663436132,0.3648303848162823,2.260878606854838,0.0524393259709449,0.006009026417874,0.0516206808468385,0.4410237997865406,False
19c671e1a7,SrTbDy5CoI12,20,793.6291369167146,5.52550909949021,2640.832185,9.655168717704422,6.394579649702694,0.0053122618535007,0.0491918475537524,0.2287373812370621,1.4028947390806283,0.2890587506893586,0.184414354864447,0.2892517266531746,0.45486693912729,False
19d1a2b4c6,Ce(BrO3)4,34,568.5197941336323,3.8071303893060056,1303.4496,13.885386684809252,13.135140038671986,0.0460013275641522,0.1019953785247795,0.1404044068213436,1.0834943846785887,0.7358252263775595,0.2919534542881891,0.7486344407436629,1.702439895425071,False
19d22238b9,ErZr2PtF15,38,506.9223902982949,5.436179690132149,1659.534096,41.41912983400984,21.72881157434132,0.0983564357458532,0.1292157901141951,0.276737683964656,1.63714130085626,0.658316395242469,0.1638365370166795,0.636102471766897,2.219640443860037,False
19d5f6e5ff,TbSb(SeO3)4,36,649.1768888786848,4.033924241786151,1577.0363,18.177210901515465,14.762920702334762,0.0470060655945456,0.0291527248680189,0.1804311455263215,1.2138470907657182,0.741010266819903,0.550171565708492,0.7456863807560916,1.0145947175063303,False
19d6784af0,Rb6Ir3RhBr18,28,952.9953759876432,4.58372915734559,2630.6353,15.371758406361158,5.354554058203482,0.0020283876772982,0.0171298922197722,0.3439506949977474,2.082250048002789,0.0949404766330674,0.0789299594661342,0.0948299515838604,0.1127872405369862,False
19db66cd8a,Li2DyS21,24,673.8227314663012,2.094079089803059,849.7470000000001,4.351778565352671,3.207083671830904,0.0393534685633017,0.0412691363802192,0.2041875874111811,1.3018833082673955,0.1451918533880274,0.0968790282594508,0.1461187329378915,0.2149507528078108,False
19dceff003,Rb2TiHgSe4,16,565.633831200018,4.316865044841722,1470.4652,12.706688903593673,6.353565288821856,0.0564548146683373,0.0504014405635956,0.2857079014073355,1.6874633407267998,0.2739195401037788,0.1635250418306212,0.2756282500763978,0.4648672835308272,False
19e13f2b13,Pr2Sm2Te3N2,36,991.9592408031488,6.651460090539058,3973.3948,57.954509285529454,26.47892314665555,0.0257420029229875,0.1194977278107587,0.3017475351774536,1.7836109741151418,0.915857466239436,0.2888757423425335,0.9307696412993623,2.829195364637142,False
19ec975297,MnBi4Pt3F28,36,550.2370956012578,6.060066877654003,2008.0669346,32.88186249035196,16.328026602703623,0.0197284978476071,0.0804109474757383,0.2869768633319384,1.6947740656039698,0.4164458644634227,0.1837653122617404,0.4224103899090259,0.8716968385815567,False
19ee3cef47,Tb4Nd2NiBr10,17,580.2420313071283,5.099502665081567,1781.9188,12.946423066419436,7.747649251413647,0.0124355152038401,0.1156424548341626,0.2505421207580892,1.5026055697190632,0.3859004999480886,0.1292119457880364,0.3886626272231099,1.0756222191372669,False
19eed8385f,YHo7Te12,20,697.5152177010164,6.605392431383614,2774.61809,47.87796109037001,16.484056806216746,0.0521715255506823,0.0508416116257811,0.3455757974566498,2.0953193106474552,0.5320965201693936,0.3127079103998245,0.5312572004848488,0.906254098662057,False
19ef49edcc,Nd5HoCoBr10,17,600.9333600453361,4.819450582790731,1744.113515,11.060627605388934,6.7408784580291865,0.0200853098846096,0.1137767273785278,0.246727997655332,1.4844167608933407,0.3317711044015278,0.1121223710058131,0.3371620708875653,0.9160115226186586,False
19f506b0ef,Dy3LuV2Pt2F28,36,513.513435442208,5.453518044097996,1686.4732896,39.50453413703645,20.656317801150276,0.0355380551555048,0.1127718935325497,0.2773622586370072,1.6405699913622482,0.6436709750040546,0.1999248859927577,0.6310999382957054,1.7933490538297645,False
19f99b5cb6,Hf6IrI15,22,796.4251026776911,6.602590736823679,3166.7240500000003,5.037214892079018,3.4100861336145183,0.0375454756527984,0.1415457641043115,0.223830928495026,1.3818113839997668,0.0956705926862607,0.0236273490862869,0.0936091750475077,0.3212403440997345,False
1a0003c82a,Rb2TaAgTe4,16,651.1636465094398,4.947987425446729,1940.30336,12.188550565980464,5.2154779882190745,0.0664146102538143,0.0577929675998178,0.3127571695381906,1.8546509491685583,0.1693052730600492,0.0891249934596715,0.1712163450055092,0.3127754159423061,False
1a000f4ff7,Ti4I5Br7,16,629.8176395861207,3.652446515436536,1385.31835,4.8844835736534655,2.714723953366782,0.0140764097275211,0.0369898484270006,0.2655432417967709,1.577498549489162,0.095989911456297,0.0662116116346643,0.0958676396758036,0.1359919920114466,False
1a0afd4086,Rb4Tm4Bi3(SbSe4)5,36,1121.0934324608304,5.676688099590669,3832.54924,21.084828816823947,11.67450217936759,0.0402997948679348,0.0384509795515513,0.2662886742598101,1.581366481518584,0.368460788202941,0.2447870857427745,0.3694544011735283,0.5538892493406163,False
1a10bc16fc,Rb2RhF5,32,575.2662524550154,4.258631869439588,1475.3324639999998,35.28802316184062,14.489548390854416,0.092372323101702,0.0541388254594933,0.319412802292271,1.8997813093733225,0.3878778787528927,0.2042953376979166,0.3844978830366032,0.7213793172575247,False
1a1e5d0908,K3Rb(LaI5)2,32,1403.1058476052715,4.141255079547343,3499.23668,11.34980458783789,5.296705399913726,0.0531394119152563,0.0232209239423473,0.2980726366717356,1.7608432734105688,0.1340959810503856,0.0986575117640227,0.1344360380922807,0.1823912289839264,False
1a1f9089e7,YSc6CoBr12,20,572.9160548411545,3.989421042587825,1376.422517,12.336440297327217,6.437018633379333,0.0355584643114322,0.031164836169238,0.2777596903317306,1.6427574819733923,0.243885046229341,0.1746396104279944,0.2429593356448439,0.3438246878944354,False
1a1fb98a76,CeZrBr8,10,406.3474521641643,3.557592918593697,870.572,6.190638021041525,2.9856391470700028,0.0272396875876294,0.0617345817820874,0.2922557037462332,1.7257183038479194,0.1341652454003907,0.0734063159870089,0.1349154846495071,0.2480053646199122,False
