material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern
e5657941b3,Cs8MnFeO8,36,951.099889869312,4.546437636002831,2604.0437204000004,23.485625119695367,7.913252562073665,0.0338376494521589,0.0211518402402887,0.3485407749359351,2.119508046954833,0.1283295566710174,0.099668301114585,0.1285331972583098,0.1653138201133269,complex oxide (4 elements)
6bae0e1249,Cs4CoO4,36,902.751578129452,4.8159879001605335,2618.2104104,21.93789469923242,7.863978191734034,0.0044985717539634,0.04412542561745,0.3398976444005183,2.0502213384676224,0.1299529336896816,0.0827261931915185,0.1290816150605386,0.1979496575077353,"ternary oxide (A-B-O, other ratio)"
975b24ee44,Cs12Mn(FeO4)3,28,696.473547017158,4.790667336719762,2009.3312678,24.64570218997343,7.760655396926434,0.0484687212529745,0.0360472260899637,0.3575116035600386,2.195518957248698,0.1305664436794904,0.08550872168774,0.1297415537606663,0.1949556913695842,complex oxide (4 elements)
68ac500bff,BaSr(Se4O13)2,36,614.8365032325116,3.4370453578190103,1272.6114,14.871272842265538,6.600475001287156,0.0432351256066219,0.0087971428790912,0.3066806779927249,1.8149049117245704,0.1311123518476817,0.1078049324078336,0.1312780106605299,0.1575869352076295,complex oxide (4 elements)
231c0c24b6,Hg11(IO)4,19,532.6232798183885,8.661192369762212,2778.1054800000006,21.785847653201586,7.485092387846648,0.0604951780274525,0.0434812951149238,0.3458644648396456,2.0976546563189515,0.1364850078391994,0.0837190801197893,0.1352688659810944,0.2169101735810962,"ternary oxide (A-B-O, other ratio)"
bbfbbc9041,VAg6AsO8,16,248.357117602615,6.024622132546111,901.0675,51.03664136116769,10.343715594362225,0.0690086533908827,0.0588011608658964,0.4050766111900509,2.6856460744083117,0.1370762412626024,0.0738662257328327,0.1375515203609982,0.2587368676436254,complex oxide (4 elements)
aab5fca3f6,AgPtOF4,28,413.7968720545177,6.3395545034561644,1579.7808512,31.215543262142837,9.865623368359936,0.0374799865657509,0.094425547078066,0.3570368762970421,2.191386162612232,0.1373200173683766,0.0541314408563312,0.1380267691161688,0.3588954479963728,complex oxide (4 elements)
cd4166c5c1,CaMnHg2(NO3)8,36,505.7822340342283,3.2576181585895814,992.235245,13.11093788847664,6.484715687727447,0.0949943781197348,0.0810304928867004,0.2876997370020594,1.6989605638435226,0.1376602190878439,0.0598018055422781,0.1362897878107406,0.3339810343081554,complex oxide (5 elements)
841a958a2d,Cs4CoO3,16,443.00065485256783,4.7870924292614125,1277.1064052,19.705609720958545,6.16190716531008,0.0200000951391726,0.0604919079211298,0.3584093187481896,2.203368918731241,0.138006781698786,0.0770945526558734,0.1418364971319136,0.2460593456542368,"ternary oxide (A-B-O, other ratio)"
913b24bd95,BOF7,36,576.8537332804358,1.8400009338189405,639.1968896000001,6.611236568038562,4.335111406508219,0.0404375824455542,0.0950149035289304,0.2309481054123923,1.4125495387079023,0.1383581364273589,0.0554830871312851,0.1395303909367948,0.3182836894320661,"ternary oxide (A-B-O, other ratio)"
c89398e814,KAgSe2O7,22,376.47167714251054,3.677564015149974,833.7646,19.33080392572256,6.717694678100217,0.0487289174755311,0.0478714918199907,0.3442817889023883,2.084902055929096,0.1387318620928102,0.0835818348691352,0.1383735502306938,0.229216723413245,complex oxide (4 elements)
