material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal
552d77a56b,Hg(Se3Br)2,9,319.0904369224467,4.3409384562309,834.158,5.203774733776408,2.885395540781716,0.0732500731508699,0.0376409256445423,0.2660075207108788,1.5799059293789104,0.1364167630152107,0.0866792475337901,0.1365927639092772,0.2106468216672527,True,3.436990976333618,5.395153045654297,0.8008588794469602,True,True,P-1,triclinic,0.8008588794469602
5e5c060528,KAg(HgO2)2,8,139.99801260064197,7.260740170351605,612.1441000000001,38.79056659488402,12.809954909939334,0.068408458568704,0.059337332513346,0.3512564929568634,2.1420623137541885,0.4860363676802423,0.254021261733094,0.4779236864690872,0.9192332885697088,True,40.85655212402344,15.887593269348145,0.8030791933018214,True,True,P-1,triclinic,0.8030791933018214
4a690634b6,Cs4LiAgBi2,8,371.82810369440017,4.753444302883655,1064.3918076,8.37369556040277,5.68802414200525,0.0844726933887412,0.131151117982021,0.2230677554452727,1.3785738924355215,0.5198279815212653,0.14064207029713,0.4989553526516671,1.674748669719018,True,14.038809776306152,8.30346393585205,0.8032006495559113,True,True,C2/m,monoclinic,0.8032006495559113
51a5dfe7d3,K4HgAs2Pd,8,246.5270112989097,4.130661385578747,613.2464,22.68819121177357,9.151422046795217,0.0299564804815137,0.0150638544209184,0.3222242302397433,1.919368942973241,0.5848103998826293,0.4762505268220104,0.5824782073641558,0.7021753157917155,True,20.69769859313965,9.975869178771973,0.8041917073941743,True,True,C2/m,monoclinic,0.8041917073941743
1f66734223,K3CuAgP2Au,8,210.0344424866271,4.329526606480819,547.623193,29.14118328578052,11.856417114498944,0.0146135450947237,0.0165636905680341,0.3208639042275992,1.909851579714236,0.8060591857361221,0.6713736982194516,0.7999894447247262,0.9541720445369956,True,27.193592071533203,9.75911808013916,0.52508031153436,True,True,P-1,triclinic,0.8060591857361221
77e5bac279,K2Cd(IF)2,7,208.9342497433533,3.834058848894499,482.4133464,22.906887313500885,9.442279120964734,0.066165839789252,0.0232261414417461,0.3187962416830122,1.8955279710038284,0.704333282149617,0.4968843956286207,0.706214844774439,0.9957994507616628,True,17.425952911376953,8.91984748840332,0.812272745052621,True,True,C2/m,monoclinic,0.812272745052621
ed99e65d29,Er2Pd(SeBr2)2,9,278.2941318893831,5.480395689383246,918.474,23.02103896309363,11.425519375524985,0.054608206880486,0.0241082982212763,0.2870720655906891,1.6953245145510851,0.81648613561694,0.5916139726462961,0.8179889892934508,1.107844455971095,True,14.006821632385254,7.471946716308594,0.4649165397315984,True,True,C2/m,monoclinic,0.81648613561694
42894cf736,K2Zr(Te2Au)2,9,304.3061614627407,5.859263656632207,1073.753738,19.73733367665344,8.557315853457744,0.0991928182819592,0.0327526858182132,0.3105931360903632,1.840340580735072,0.4574812620673131,0.2746556665774049,0.4573001031984664,0.7459433241494076,True,15.72037410736084,9.839011192321776,0.8196417590639501,True,True,C222,orthorhombic,0.8196417590639501
b47a7152c8,KTe2Au,8,282.64306930398124,5.772400576962421,982.529738,20.30525674628957,10.47436044933019,0.1205438511708301,0.0625742345950734,0.279919990024721,1.6547265527115118,0.8216725806990706,0.3800876548627702,0.8191497486559122,1.6525272071681938,True,20.855308532714844,7.607773303985596,0.3518026080933527,True,True,P4/mbm,tetragonal,0.8216725806990706
d28a038d70,K3InI4,8,360.1126434690479,3.411021198366348,739.7307800000001,13.570363656666965,6.531438456118094,0.0243335581198294,0.0645054212167281,0.2926199591091205,1.727885759975917,0.5311722233664058,0.2841853227815962,0.5298752079477989,1.007891862372481,True,10.420769691467283,7.007655143737793,0.8224810939081348,True,True,Pm,monoclinic,0.8224810939081348
a107021b4a,RbNa2As2Au3,8,209.97318578515203,6.897575863640219,872.19024556,29.36241656608117,13.140185043658237,0.093341516092588,0.0535466390363872,0.3052871969368542,1.805978626722708,0.824911429899984,0.4368251404329059,0.8252441969254583,1.5107396100252362,True,25.444669723510746,8.573270797729492,0.3195382986071607,True,True,R-3m,trigonal,0.824911429899984
c19de2f1bb,MnVCl4,6,150.96893239006852,2.724411446793232,247.691545,9.343028082352433,6.091709106392753,0.0121332872318967,0.0462580531228717,0.2321995545374618,1.4180584906631806,0.7230140293969445,0.463616976965758,0.7238609148364067,1.10802845803453,True,6.64702033996582,5.674027442932129,0.8269918305355246,True,True,P2/m,monoclinic,0.8269918305355246
639f58958e,CsK2Li(AgAs)2,8,240.4750223192188,4.030057698467233,583.6226519,18.190900463382764,9.587182681873754,0.0187108936424159,0.0271659581837352,0.2758603490201504,1.632343556654276,0.8340306351284765,0.6396749158019788,0.8306498692455858,1.0895182693366738,True,21.084766387939453,8.292366027832031,0.492801932641675,True,True,C2/m,monoclinic,0.8340306351284765
9cd1174d5f,ScAsI6,8,348.3063622694481,4.201589271465366,881.304332,5.551934966151794,3.160949302028228,0.0670419471297616,0.0831308436112798,0.2607366017121699,1.5528987756222168,0.1890867938186724,0.0794673296674906,0.1870355840988934,0.4264312815895161,True,1.6786510944366455,4.263923645019531,0.8385994403793189,True,True,R3,trigonal,0.8385994403793189
46146298a1,CsK2Ag3AsP,8,237.73500441410832,4.474497452873435,640.6020139,21.69406137538688,10.58917414896708,0.034497810813337,0.0332992646943176,0.2900954656357554,1.7129502496525968,0.8459009509542725,0.5841285158263937,0.8461669534071237,1.1917600470774128,True,25.342796325683597,7.33143138885498,0.2762244837395496,True,True,R3m,trigonal,0.8459009509542725
6d5ddc5b7b,In3HgAsSe4,9,278.6763547038572,5.576152168939697,935.8056,29.625251404547587,12.896798010947933,0.0471788949823738,0.0395543696695532,0.3099173441800781,1.835907262626017,0.8462424222594946,0.549968281061769,0.8537907810425528,1.309929337476832,True,31.186038970947266,12.580147743225098,0.7512522047683318,True,True,P1,triclinic,0.8462424222594946
6d7bbbcb8c,Rb2Li2ZrTe4,9,333.37531926444444,3.91725759754896,786.4416,13.486986398891622,7.89308930221192,0.0646370362340326,0.0169855247626913,0.2551469975964796,1.525014588527975,0.6955814942247902,0.5161169573604946,0.6919529414900931,0.9164273908607434,True,12.71364688873291,8.379057884216309,0.8530602865164874,True,True,C222,orthorhombic,0.8530602865164874
78a4012a48,Cs4NaAgBi2,8,387.80083413073214,4.626379398015647,1080.44057688,10.291110900698191,7.46911490561937,0.1382218960049937,0.1475160515367345,0.2077997609058468,1.3160676284807096,0.8544932909917896,0.1961892590590256,0.8366724780334898,3.048020493396365,True,14.96034812927246,7.8730387687683105,0.6783075510559461,True,True,C2/m,monoclinic,0.8544932909917896
8ffe188ecc,LiNb(AgS2)2,8,226.03654936972865,3.2606228472439978,443.84378,23.34657568818826,7.339553623959814,0.0320055083044017,0.0345987090439033,0.3577225022256842,2.197359035219857,0.3494691485300821,0.2428812118913881,0.3508119917320178,0.5105185294472612,True,25.059715270996094,10.691657066345217,0.8577461836034611,True,True,P-42m,tetragonal,0.8577461836034611
2c88caa301,NaSmSnI6,9,403.0063345456176,4.340764623600978,1053.48658928,7.520084313211991,4.477828494289123,0.029058109098623,0.0998233727332725,0.2515821247210948,1.5076231444981265,0.3059263490283372,0.1168841205175445,0.3127923788880067,0.7723786188855939,True,7.510549068450928,6.91629695892334,0.8679821910110493,True,True,R3,trigonal,0.8679821910110493
055fd62418,CsK2Cu2AgAs2,8,223.6411371647565,4.42460764064795,595.9054519,24.664771042315618,11.362382201152446,0.0291273084081557,0.0162227876589617,0.3003252909895875,1.774745329525366,0.8720465804053812,0.7182646720062767,0.8735640143150936,1.0531252651364724,True,24.587291717529297,8.695710182189941,0.4390026369231546,True,True,C2/m,monoclinic,0.8720465804053812
953d09d290,K4LiSb2Au,8,281.1903252345104,3.565798278136352,603.8207689999999,17.15621545373999,8.480962453392037,0.0501103732399663,0.0530302231861411,0.2877977199246153,1.6995292580700707,0.7277706794803296,0.4304158640500726,0.7197819690064235,1.2538752231497787,True,15.586604118347168,8.783595085144043,0.8763064261389015,True,True,C2/m,monoclinic,0.8763064261389015
12d9ab62e2,ZnCd2SbI3,7,280.2466211037221,4.696993803978803,792.70441,14.333360690555766,6.235906042792356,0.0463361601778946,0.0428728705817403,0.310019877280751,1.8365788172892,0.3990713633515885,0.2614226098367634,0.4042376411427317,0.6386604768644334,True,20.850902557373047,9.906458854675291,0.876910304651141,True,True,Pm,monoclinic,0.876910304651141
00b4c5137e,CsCu2AuSe2,6,184.0725641373465,5.546937124194234,614.8840209,14.971379370128137,8.922282520910922,0.0514762244881265,0.0454729418344169,0.2514057653828023,1.5067705164558285,0.8800306149793024,0.5469474705470085,0.8843989626369885,1.3861259207863623,True,15.655458450317385,7.040904521942139,0.4628389411305547,True,True,C2/m,monoclinic,0.8800306149793024
