material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate
79d2a54b95,LiTbSnPt,4,76.6919941028815,10.385630994525345,479.66035,82.17167967018459,33.910965495762255,0.0111420559529569,0.0486850827164021,0.3186100881293349,1.8942467538907672,3.654126380246042,2.255594869657558,3.666580617035073,5.797914483631164,False
989fbdbb53,NaGaPH,4,70.59980178839386,2.932870008040194,124.69447128,21.484941096564405,15.602709833573686,0.0414925727723071,0.0595789528542661,0.2076594314450758,1.3155124132869769,3.6748697504241608,2.084501948461865,3.686367664933261,6.258399247561567,False
946b3409db,LiDySnPd,4,76.5728684998008,8.556562837456424,394.571,77.76717868705005,32.51450396344265,0.003038310216641,0.049213349754112,0.3165206435975357,1.8799594410038596,3.831050502097102,2.3722521363731626,3.8485490554475232,6.142837774740022,False
8084c53d81,RbAlPH,4,87.82828408369228,2.730707860038931,144.4310406,25.982976772367905,16.36851066725184,0.0762719440081819,0.096720522480763,0.2396794723793415,1.4516588424255477,3.854807962801132,1.4391333650135092,3.778719530668258,9.545133554993518,False
094bc940ed,LiHoSnPd,4,76.06939649487917,8.66624730376544,397.00132,76.18058825366828,32.50391481745856,0.0063229178358863,0.0447450068168491,0.3132285801285092,1.857791548431117,3.87996050932936,2.486747461025483,3.886570069965405,5.996904060343325,False
5dae0b39b6,LiDySnPt,4,76.24878561090188,10.523847567413933,483.235,86.36601376952615,35.650348775428235,0.0159757020302794,0.0519369414390703,0.3185722977217917,1.893986825639521,3.906338683460264,2.3421137316780074,3.8942465136893496,6.445457032643205,False
c83f8d5111,LiTmSnPt,4,74.57828254361597,10.902836942868106,489.66921,88.15152065629725,36.59956860577538,0.0123639394786525,0.0537402621830191,0.3176429175581532,1.8876121194098037,3.987630459348933,2.381258029950293,4.01513276886115,6.852899775546488,False
52f42d5c80,LiHoSnPt,4,75.45416483793878,10.688160686844393,485.66532,85.06972705018987,35.93599826642078,0.0089513481706857,0.0513719222311859,0.3148552639354279,1.8686933591801351,4.007407560372039,2.4485338283325047,3.9826783770696794,6.625110032410534,False
4671f53800,LiSmSnPt,4,79.26686314853215,9.86883574801021,471.095,80.85252451967794,34.52196232372537,0.0157109156052477,0.0455567587159671,0.3131116276032056,1.8570116142051507,4.037776929260112,2.5407528453529054,4.000074901273877,6.210011486940506,False
61ad302f86,LiErSnPt,4,75.06947061434239,10.794442744394791,487.994,85.45416809222611,36.30308038544246,0.0089652227164349,0.0507092301601498,0.3139356882667602,1.8625181352473876,4.066547239243304,2.4583849030610363,4.073649221267251,6.672605888341233,False
