material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system,space_group_order
794e3ae402,K16ZrSnSb8,26,1114.9148930245997,2.695173953457648,1809.5868,14.387789380016004,7.741362240355931,0.0181820729046146,0.0354449478388447,0.2718867524931628,1.6108807804418526,0.3877205414706478,0.2754339536387168,0.386888174925084,0.5453204372530966,True,F-43m,216.0,cubic,96
f378763580,K16SnGeSb8,26,1106.27337355881,2.688332009996634,1791.0028000000002,14.84828442740312,7.917328118192644,0.0163919293542698,0.0129718830890146,0.2736275568366288,1.6202300546978448,0.3968421038418188,0.3437852150419475,0.3971968056845738,0.4546850077086813,True,F-43m,216.0,cubic,96
7630ea349d,Cs16ZrTiSb8,26,1384.6868770916462,3.8850509458329903,3239.6582304000003,5.94201750952139,5.884503769472344,0.2152628615168769,0.1153648822621263,0.1277288671232287,1.046251411645821,0.3983932967707129,0.1059831432286697,0.3967214358769819,1.1561015762484912,True,F-43m,216.0,cubic,96
d76d66d30d,K16TiSnSb8,26,1100.0607367458322,2.6661196874154043,1766.2298,14.514353040147808,7.953233796400095,0.0226505290934306,0.036154317902735,0.2683357379944898,1.592062838583041,0.4116292104640592,0.2929695824622435,0.4146893653840041,0.5918640106443955,True,F-43m,216.0,cubic,96
caa5f0b05c,K16TiSnAs8,26,943.3969918593236,2.449316313836304,1391.5226,17.16693851593993,8.673126053472021,0.013557167429521,0.0610601688237712,0.2837986222273871,1.6765549395844,0.4278154980548401,0.2332325515181037,0.4245228280659335,0.7731336170667137,True,F-43m,216.0,cubic,96
de64e2754e,Rb6TaBrO5,13,383.48506689182943,3.696437568050896,853.65568,16.414368784965436,7.960169187281873,0.0644928781277735,0.1988259960091346,0.2912662576093427,1.7198519586750975,0.4348320060422506,0.0635395369627011,0.4412216144658802,2.636160285630164,True,F-43m,216.0,cubic,96
3ab6c7a2dd,K6SbClO5,13,339.53527903498235,2.307394986569051,471.79980000000006,26.110921256461506,9.19658740202168,0.0320061861833744,0.0985998603961785,0.3423970825966891,2.0698781947846814,0.4655330149856695,0.1760896663605497,0.4424900711569858,1.106475336576518,True,F-43m,216.0,cubic,96
5aff421d6c,K16CeZrAs8,26,974.1171405313856,2.4824726243770363,1456.2856000000002,17.351364360292514,9.012581054376808,0.035926689134433,0.0511942879959567,0.2786211256302783,1.6475142611036695,0.468081224895838,0.2752719170812348,0.4668318499898962,0.7706389763222922,True,F-43m,216.0,cubic,96
2d47f128da,K6TaIO5,13,342.1238874974153,3.021082608878529,622.43915,19.20413428282307,8.747220882355336,0.1096536817359584,0.2004324243825376,0.3022768878745424,1.7869283987483369,0.4994636511422191,0.0677821068285618,0.5090324455411029,3.229762493169104,True,F-43m,216.0,cubic,96
ea34398020,K4Rb12ZrSnSb8,26,1222.4446320890556,3.2139451335012543,2366.0208,13.345038729635355,8.585945367831064,0.0648821857058011,0.0779500642130727,0.2351164775224443,1.4310229824852116,0.5096939862949417,0.2401609683348314,0.5046163315635535,1.0879342230464977,True,F-43m,216.0,cubic,96
