material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence
a453186cd3,Rb3Ag2As2Au,8,254.0186185161511,5.353535747668943,818.9495689999999,23.049466878924903,8.627816638054872,0.04746616477013698,0.1431197308433627,0.3336030548856406,2.002024549836478,0.4379350242313796,0.10880983047732766,0.4515241030677153,1.699768560986008,C2/m,monoclinic,15.62146134709936,tight,wide
8f544304b7,K4LiAgAsP,8,239.09369043762948,2.618996617841088,377.0977620000001,18.450510078931487,9.153438543165043,0.13807931424634137,0.04644116076938809,0.2871457335080011,1.6957506438385137,0.9054043366524268,0.4395073269130394,0.9024112948555646,1.716509321109612,Cm,monoclinic,3.9055306157597673,tight,moderate
9f31c919f8,Rb3BiSbAu3,8,282.7074534033485,6.9194753966039615,1178.043507,20.79162809867564,5.505869220505233,0.1511042484302998,0.2591521533575937,0.3783336453572742,2.3901765380495026,0.1388752939651545,0.0120771018402949,0.1376742907706241,1.7274052027909033,R3m,trigonal,143.03143466319594,moderate,wide
4809ac6683,Rb3Cu(AgP)2,8,230.6987265435152,4.30168600520357,597.633324,24.2958324043684,10.809728540557929,0.07932969853799904,0.07290902127823475,0.3062708451226385,1.812272461326326,0.7992901871052139,0.3753849065811325,0.8014948611329786,1.7740509677533385,C2/m,monoclinic,4.725951780828754,tight,moderate
e2e64b1307,Cs3Ag3AsP,8,272.8352703089249,5.040717615067528,828.2163177,14.958034967565824,7.392857964002604,0.22295778953440618,0.11549127165099568,0.2878337225316563,1.699738291599967,0.4930853858742849,0.11706747982344819,0.5138548190687076,1.7852478806648193,R3m,trigonal,15.249733601143438,tight,wide
8ffe188ecc,LiNb(AgS2)2,8,226.03654936972865,3.2606228472439978,443.84378,23.34657568818826,7.339553623959814,0.13652201930916028,0.15699291007902103,0.3577225022256842,2.197359035219857,0.3494691485300821,0.07572531913200624,0.35997064262075934,1.7866232883360997,P-42m,tetragonal,23.593473211009044,moderate,wide
4c996b9ceb,EuPtCl6,8,258.44069157860093,3.596621363205008,559.7660000000001,9.088488939102588,3.247740800679905,0.16229209571147565,0.30021090843650927,0.3403441794120648,2.053711024772724,0.1179624312652995,0.0062338592805095926,0.11903015949379117,1.7893604750541956,C2,monoclinic,287.0389584584788,moderate,wide
20ff0e5d0c,Er2TeBr5,8,333.39313992896007,4.291580692305079,861.6379999999999,15.885106123842885,7.001345103757532,0.2862958219403049,0.10564951375244368,0.3078547611969594,1.8224796073654463,0.4669003277737674,0.10155997912175431,0.48141197954099135,1.8162556894269277,P1,triclinic,17.88357682950609,moderate,wide
a9692b8038,K3AsPAu3,8,229.4089181686005,5.8926575737865,814.089969,26.639516657016607,8.80550005947034,0.07839958412176253,0.1660475739965531,0.3511311185111364,2.1410125204738453,0.3628757682593982,0.07131685779676834,0.37783188836175186,1.8405077719958611,R3m,trigonal,25.807471457039743,moderate,wide
9a57fc02a9,CoF8,9,161.59791365250567,2.1673646083852645,210.9204206,6.036348086636237,2.479447628563645,0.11569096683431583,0.317437150956687,0.3193567813032553,1.8993942253079448,0.0896552178846222,0.0034396860190665157,0.0924568698498987,1.8581622729339657,C2/m,monoclinic,540.2127585581912,moderate,wide
8bf26c7bed,Rb3Cu2AgAs2,8,236.4625237125101,4.502823220950177,641.2067999999999,22.67095541680544,9.062394125797482,0.18314173898802855,0.10631343997711204,0.3236322378627819,1.9292994036751805,0.539072395923068,0.15072502423682346,0.552557860370631,1.8616810353079387,C2/m,monoclinic,12.351505960833766,tight,wide
6d7bbbcb8c,Rb2Li2ZrTe4,9,333.37531926444444,3.91725759754896,786.4416,13.486986398891622,7.89308930221192,0.2757143746914302,0.07707244100727705,0.2551469975964796,1.525014588527975,0.6955814942247902,0.18032236327004747,0.6628569816295924,1.9266226342291086,C222,orthorhombic,10.684324447011788,tight,wide
1d21b4ae34,NaGaBr6,8,336.9603670747021,2.8194872483163165,572.13676928,4.127642096580551,2.0692425280071545,0.14299971127999275,0.34891302562081494,0.2852319723667457,1.684733968321418,0.1062960773232516,0.003750136702035121,0.10260123697010028,1.9468998443696066,P1,triclinic,519.1543666429719,moderate,wide
055fd62418,CsK2Cu2AgAs2,8,223.6411371647565,4.42460764064795,595.9054519,24.664771042315618,11.362382201152446,0.12424483070544487,0.07361149345030875,0.3003252909895875,1.774745329525366,0.8720465804053812,0.3571602143042052,0.8710614126642288,1.975780872348144,C2/m,monoclinic,5.531917591093464,tight,wide
bcb3257dd0,Cs3Cu2AgP2,8,246.57896129595017,4.68454792555062,695.6240797,19.45014424439834,8.351353814761113,0.24133255061920744,0.12455904853885039,0.3121934753106621,1.850906510434522,0.5120255880222007,0.11433191749766165,0.5111292936730257,1.9913776484155963,C2/m,monoclinic,17.41751290453363,moderate,wide
ce4bc117e8,ErZrBr6,8,322.6350417627714,3.7978621170062232,737.9069999999999,9.01830201945322,4.595796892273537,0.495697700236711,0.17317335599976372,0.2821945582326348,1.6674740899347125,0.303878907849183,0.02636591088728618,0.3051015779011757,2.0102028007111667,P-31m,trigonal,76.24249392728169,moderate,wide
19509b7273,KRbHf(AgTe2)2,9,320.43688185645186,5.33338842204514,1029.1925,16.914184355229686,9.043193746630855,0.2694536844411769,0.085445615836889,0.2731099577541613,1.6174415642310858,0.6591945065326505,0.1635574581086471,0.6447825788339608,2.0492195870008163,P2,monoclinic,12.529050100788258,tight,wide
4dd3881ae6,Zn3PI2Br,7,212.08802593279623,4.391662906790818,560.9137020000001,13.408924978515286,6.661505598658512,0.24097334853520183,0.13453548962342887,0.2868921981325685,1.6942847726176526,0.4773555337475709,0.08810316012777407,0.4688474203382187,2.072223186714166,Pm,monoclinic,23.52041837896469,moderate,wide
