material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,cross_model_ratio,both_models_clear_threshold
3d3f3d098a,InAgI4,6,301.15032876203384,4.026887375540406,730.30408,12.973828225121604,3.1661874317072263,0.0349420390938914,0.0378974783889099,0.3871574285344517,2.4814160666100977,0.0987942497792561,0.0657492047918893,0.0993548372926856,0.1484306098560649,I-4,tetragonal,2.2575270731544275,10.849031448364258,5.752649307250977,0.5608033282974975,5.676477422021476,True
c681f7a9f5,AgAu3S2,6,156.46835682918203,8.096344883034705,762.897907,50.74970100174491,5.722888808464713,0.0398461161781037,0.0932532600124739,0.4456591442942569,3.270610721245592,0.0623111373795651,0.0272143473454242,0.062402302518616,0.153312480052263,R-3m,trigonal,5.63351669273233,57.51460266113281,10.55022144317627,0.2505164035879308,4.020411344153823,True
9811b7fd74,GdGaI6,8,350.8512457961647,4.677984007436113,988.39982,5.429645681844373,2.552107100937213,0.1033611203148521,0.0199148819544782,0.2968180201879636,1.7531739436318827,0.1071416099479494,0.0701499887629916,0.1072634704435698,0.1645348561603706,R3,trigonal,2.3454723095718126,3.211256980895996,4.810216903686523,0.7335523563942749,6.846568357061676,True
844b1549b9,TmSbI6,8,381.6516588691143,4.577703345307631,1052.12103,6.120793612827262,2.694243289599966,0.0155202119368399,0.0412330234286592,0.3080715640922581,1.823883754548535,0.1127364618240221,0.0754372698088972,0.1127086116259778,0.166785665410179,R3,trigonal,2.2109186325630783,3.2788312435150146,3.367283582687378,0.3455403860549919,3.065027768871876,True
262ae9057a,Cs2TaSBr5,9,341.1036552373698,4.275897213496444,878.3437838,10.740781952747003,3.613925755023659,0.0071357702031228,0.0375258400109517,0.3487317907667335,2.121081851981588,0.1158846866283855,0.0791742523484429,0.1157628390995891,0.1692172815507334,Cm,monoclinic,2.137276659159528,11.066896438598633,4.918501853942871,0.24888197770484793,2.147669247300577,True
9a57fc02a9,CoF8,9,161.59791365250567,2.1673646083852645,210.9204206,6.036348086636237,2.479447628563645,0.0271219852921668,0.0699580358128776,0.3193567813032553,1.8993942253079448,0.0896552178846222,0.0445300889082873,0.0881931883349661,0.1737210648114791,C2/m,monoclinic,3.9012063319538672,5.551172733306885,2.883700132369995,0.14393686994476007,1.6054488889870662,True
7fb1d14f79,RuPtI6,8,292.744807919877,5.998925421184931,1057.58082,7.186872575488965,3.2261582623001424,0.0565091257074861,0.0327546798054327,0.3047653557024407,1.8026535358853912,0.120605945639343,0.0808884576387586,0.1210558251650127,0.1773907140293269,C2,monoclinic,2.193028760933231,3.7188007831573486,2.4048142433166504,0.11215077823409927,1.075391072076154,True
e8275d9285,ZrFeI6,8,342.75066177148864,4.401429293421141,908.49582,5.340325789412123,2.7599251613022626,0.012248907267852,0.0334460780033955,0.2795692866494476,1.6527744085900675,0.1359806961998808,0.0967362555219826,0.1371575402303522,0.1869022211975461,P-31m,trigonal,1.9320803786443224,0.162647545337677,1.944197416305542,0.3542924463985213,2.6054613360541974,True
09f6f8cefc,MgBr7,8,383.5775929379354,2.526595443148834,583.6329999999999,5.326135572030601,1.771463880996149,0.0193722982129514,0.1245278241897839,0.3502977355829194,2.134055532819493,0.0597585504750904,0.0182029991119086,0.0595157360699785,0.2005767991647118,C2,monoclinic,11.018887488353071,2.700357675552368,2.007504940032959,0.1640408538055589,2.745060790487836,True
332f7fe495,TeClF5,7,150.12568792945518,2.85423391904414,258.045016,9.242494881734372,3.8326574727326026,0.0145163395250957,0.0070028697494726,0.3178402940133866,1.8889631021724225,0.190301923330261,0.1741128206965251,0.190631516991529,0.2085421437126803,P1,triclinic,1.1977414579720398,7.160201549530029,2.200198173522949,0.05960461121217105,3.1927382707497975,True
552d77a56b,Hg(Se3Br)2,9,319.0904369224467,4.3409384562309,834.158,5.203774733776408,2.885395540781716,0.0732500731508699,0.0376409256445423,0.2660075207108788,1.5799059293789104,0.1364167630152107,0.0866792475337901,0.1365927639092772,0.2106468216672527,P-1,triclinic,2.430187474633261,3.436990976333618,5.395153045654297,0.8008588794469602,5.870677926565837,True
10d40a0dce,CoIrBr6,8,227.9421216301513,5.322171193574639,730.5741949999999,10.914193342671943,3.637859412923774,0.1092451946691718,0.0679786576268227,0.3500076083950478,2.1316421765472744,0.1021132643287625,0.045875836109239,0.1019253580830643,0.223590762193644,C2,monoclinic,4.873824242924582,10.851346015930176,2.8024158477783203,0.05205707993600357,1.9615634310317742,True
