material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,stoichiometry_pattern,is_low_kappa_candidate,space_group,space_group_number,crystal_system
e5ead16186,Ca2Ta(AgO2)3,36,572.6144426956637,5.921979765249781,2042.11464,87.69907883188496,19.864833740065738,0.0370491268641252,0.0258834944253617,0.3946952480759131,2.564047456351596,0.243637338767392,0.1834728281766983,0.2434301370814126,0.3220309822852143,complex oxide (4 elements),True,P3_112,151.0,trigonal
1e9bcc31cf,CsVSeO6,36,667.2272882798995,3.5718382287713744,1435.2134076,19.425951127777576,9.179535144069405,0.0888535042185514,0.0017456243473959,0.295881473969144,1.747482773707056,0.2315700927378943,0.1643567927787463,0.2323662493231331,0.3245861101945178,complex oxide (4 elements),True,P2_12_12_1,19.0,orthorhombic
22c1882ae0,Cs3K(RuO4)2,14,317.63762656907323,4.014671536667019,767.9498557,19.43501801749696,7.129714290772945,0.0586653004468634,0.0297136181715626,0.3365613311251162,2.024446725364854,0.2287767161290795,0.1555661859382738,0.2299088863496665,0.3283999856660162,complex oxide (4 elements),True,P-3m1,164.0,trigonal
c4bdce82ae,Fe3SbBr7O,12,350.779082503451,4.093001397964631,864.6224000000001,11.4241154960818,5.217788376912932,0.0439738663811346,0.0471159075682156,0.3018066387442302,1.7839808955737049,0.2165817198914739,0.1341541473810121,0.2154722938752685,0.3400509144271472,complex oxide (4 elements),True,Cm,8.0,monoclinic
ef88803627,Rb5Co(AuO)2,20,619.5339091775194,4.889968343097628,1824.408266,18.38835576322046,7.485741320671853,0.0420246278590833,0.0502720344433457,0.320774667876261,1.9092298643724752,0.2184100413697923,0.1285161342053946,0.218402898799663,0.3728957045578512,complex oxide (4 elements),True,Pbam,55.0,orthorhombic
b64fb11bbf,Rb2Cu(CO3)2,22,357.52657188643315,3.292958621244431,708.9988,26.048412429832112,9.962117353775842,0.0603914171239227,0.015378342333334,0.3303980854814506,1.9781778017921188,0.2890239424222446,0.2132717732639471,0.2899072880991324,0.3834650099606642,complex oxide (4 elements),True,Fdd2,43.0,orthorhombic
8dee164585,K11Li(SbO4)4,32,639.8929159264516,3.062268018544147,1180.0527,41.07306009066751,11.282698599215184,0.1402131911785346,0.0284938091769491,0.3741724053161581,2.34905874558241,0.2093277796871396,0.111575230612881,0.210550881843807,0.3920254524218702,complex oxide (4 elements),True,I-42m,121.0,tetragonal
f238f0ac9b,Ag2PtS6(O3F)6,33,538.3103137861937,3.1007343827950526,1005.1900192,18.06178369637704,9.23729556009579,0.0513180712940002,0.0344670388785602,0.2815300358438671,1.6637342871100411,0.2765575974051166,0.1841653731958964,0.2773633406869338,0.4000196297621899,complex oxide (5 elements),True,P321,150.0,trigonal
5e4005cd75,Cs2RbAuO,10,394.1587169036542,4.7541778650725846,1128.4893456000002,5.913966206243581,2.924660369425752,0.0615878187852809,0.1347991959244753,0.2877251575043187,1.6991080765351378,0.1143246589419958,0.0299047512284821,0.1169943911522615,0.4137732233172439,complex oxide (4 elements),True,Ama2,40.0,orthorhombic
de3109d6a6,Rb3(CoO2)2,36,698.1042830821624,4.169922124044299,1753.0695599999997,36.89900492582135,11.389163092227667,0.0193790055038692,0.0777052583639377,0.3600681507404074,2.21799532628449,0.1894257783529552,0.0915004029667559,0.1916188149552636,0.4161131358249633,"ternary oxide (A-B-O, other ratio)",True,Pnna,52.0,orthorhombic
091f05f6f7,NbSe4IO13,38,631.265774708014,3.9122930066246537,1487.2861,11.311864385509969,9.030796733530863,0.0390824611927839,0.0265531706411862,0.1847257790343264,1.229119389365986,0.3329147233566548,0.2507529138619691,0.3334869128238265,0.4364059797487137,complex oxide (4 elements),True,Pc,7.0,monoclinic
eafd1b72d4,K4Rb2Zn2O5,26,560.5769591743701,3.188175289662981,1076.2876,27.98712858827534,11.696485622371984,0.0133988381831041,0.0137204028680118,0.3165887639027476,1.8804225481072585,0.404333728145532,0.3502018393903762,0.4039152442617503,0.469845915993355,complex oxide (4 elements),True,P4_2/mnm,136.0,tetragonal
66a755633e,BPb3BrO4,36,766.7237667373804,6.725224691966059,3105.2504,37.54060918128475,14.857945616372726,0.0754868601238467,0.0374600315500804,0.3251729049082392,1.9402593155503465,0.3013126359870871,0.1894061433526437,0.3014075861235693,0.4855986897684187,complex oxide (4 elements),True,Pbcm,57.0,orthorhombic
24bc5d47d4,Rb6BaO4,22,581.1603609331393,4.080949664696638,1428.2628,18.503934736037053,8.047022172278288,0.0595406335682343,0.0605190268193882,0.3100887957531308,1.83703042535526,0.2545374365746844,0.1327382681977055,0.2544420487970825,0.4866738599478814,"ternary oxide (A-B-O, other ratio)",True,P6_3mc,186.0,hexagonal
e0e7ac0c62,Fe3Sb2(ClO)4,26,585.0274099984475,3.501811200731351,1233.7292,38.73994899429495,13.138207440102324,0.0339108508424351,0.0239000174336432,0.3476530027599777,2.11221830791888,0.3710059095813432,0.2763527558686844,0.3723509212341568,0.4880259452206257,complex oxide (4 elements),True,Cmce,64.0,orthorhombic
ef0a2b67ec,Ag5BiPbO6,13,211.50247273300764,8.255631085547623,1051.5178,79.8725067487401,17.5857951607979,0.0197284646395725,0.0413527630599091,0.3974403082656489,2.595288805608208,0.3311237640699838,0.2204353157488282,0.333753815801818,0.4952150672201122,complex oxide (4 elements),True,P312,149.0,trigonal
78e547209e,ZnFe2Sb2(BrO)4,26,636.6983591707793,4.194952393275777,1608.4652,22.78217405710128,11.152646684754696,0.0492304147452547,0.0145752186254328,0.2895705040964445,1.709869566567524,0.4047077797245502,0.3186604607965987,0.4052693609057828,0.5084987232454515,complex oxide (5 elements),True,C222_1,20.0,orthorhombic
