material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable
b6e1161414,K2H2SeO,6,128.50230311515637,2.263615075097107,175.17188,17.56360282948672,8.976859414871155,0.0200793568531573,0.0352590837536716,0.281647505408919,1.664394443671508,1.0572904435997303,0.7409958311538151,1.0592360916926509,1.4792065897351403,False,18.245826721191406,8.05957317352295,0.7722678976868058,True,True
d53be0a61f,Ba2Sb2Se2SO2,9,237.5228448713508,5.174495719481509,740.1578,38.56588103520157,16.35088070986246,0.0159569067727034,0.0186558479124261,0.314262815243067,1.8647111970170904,1.155897106336091,0.9611131284454112,1.1516137824932358,1.3930595439347473,False,36.4271354675293,13.734956741333008,0.783905747546904,True,True
1924ce28d2,Ba2Sb2Se3O2,9,246.41794760643063,5.303720513857459,787.0528,36.17668135380301,15.447017588501598,0.0114731963851014,0.0128910590665091,0.3131063434284167,1.856976387228224,1.069386647291361,0.929161960124072,1.0700738729584578,1.22129116776517,False,31.75380516052246,13.045465469360352,0.7962998013681052,True,True
5e5c060528,KAg(HgO2)2,8,139.99801260064197,7.260740170351605,612.1441000000001,38.79056659488402,12.809954909939334,0.068408458568704,0.059337332513346,0.3512564929568634,2.1420623137541885,0.4860363676802423,0.254021261733094,0.4779236864690872,0.9192332885697088,True,40.85655212402344,15.887593269348145,0.8030791933018214,True,True
f14c75446c,CsNaCd3O4,9,166.27950338054987,5.563699515365175,557.12582118,58.50105710315311,22.110581317011903,0.0229370449027912,0.030449006616155,0.3321681991525769,1.991291931847884,1.3746146410101745,0.998579882092567,1.3811677997308764,1.858888930137312,False,54.17196273803711,17.443864822387695,0.8077340105124173,True,True
e39b32b82f,Ba2Bi2S3O2,9,230.4888919412629,5.913450912649046,820.8086000000001,37.14595086656616,19.407693303941848,0.0210408557611146,0.0124799092804357,0.2775121823607842,1.6413946567253694,1.7226849904392447,1.4912672750207274,1.7208284200053958,1.9834197550916028,False,41.29896926879883,15.21639347076416,0.8254611915579818,True,True
227d88029e,Ba2Bi2Te3O2,9,283.4171960632256,6.488327362617461,1107.4136,27.739271308348737,17.134143508653786,0.0472599810233663,0.0279365381383912,0.2438892481996596,1.4710923453646223,1.7259958420546426,1.2639695328457332,1.7354842714280108,2.3611415138105047,False,34.681182861328125,14.776358604431152,0.9455532624652728,True,True
801c8bda45,K3ReO4,8,156.46169181111577,3.900298344563921,367.4995,28.540615183358607,12.829768759655494,0.0509145460523153,0.0116378361517348,0.3045267893836756,1.8011366204283887,0.964069013668834,0.7648537887188033,0.9652899911117572,1.2066825129288832,True,28.94615936279297,12.80935001373291,0.945888413962406,True,True
c9edccbfa0,K2NiAuO4,8,152.52915374772869,4.3313188011904105,397.854169,40.56554516101863,15.077534885017398,0.0606314259211575,0.095732458856961,0.3346449313736409,2.0098758447180427,0.9416222562573604,0.3495506138795745,0.932581981708004,2.435125596538529,True,34.962398529052734,14.284662246704102,0.9622868084262757,True,True
095ac5bfad,K3OsO4,8,150.95228045165584,4.0869049767711765,371.5225,26.7671401724076,14.40002028465405,0.013309040516238,0.0229323063937586,0.2719144477202823,1.6110288766901588,1.3328665499650336,1.074464559653494,1.332026274617629,1.6547839722636462,False,30.5832576751709,13.409958839416504,0.9685197531879554,True,True
