Material,Bulk modulus (GPa),Shear modulus (GPa),Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),Sound velocity longitudinal (m s-1),Sound velocity transverse (m s-1),Speed of sound (m s-1),Acoustic Debye Temperature (K),Poisson ratio,Gruneisen parameter,Kappa_Slack (W m-1 K-1),Kappa_cal (W m-1 K-1)
mp-900,130.08574,55.143074,4,69.75994896911438,8.658113215431847,363.731,4849.397043770087,2523.677502626651,2824.0519811401787,204.24299889272893,0.3142915137769668,1.8649037864885512,9.40319181488954,8.275617100349322
mp-600002,22.297491,34.20882,24,449.91071365580996,1.7740822709998876,480.6744,6186.963926408026,4391.189417830887,4758.500461398364,184.88622184395706,-0.007542817169088829,0.736015442251391,20.07176198963148,8.298578927506293
mp-13121,85.42258,47.885067,5,97.46821144591433,7.8529333603430205,460.9415000000001,4359.827836293468,2469.358207108262,2745.9531973156354,177.64323586323297,0.2638436962522534,1.5687334003719369,10.23302805008709,8.403574162276108
mp-972884,83.41951,39.631397,4,74.53962377498324,4.019695780499524,180.43936259999998,5822.235648822136,3139.9526503797833,3505.014579938893,247.95372688983267,0.294932167413901,1.741743327585793,9.906189203306058,8.535864494893987
mp-27496,178.05956,73.61693,6,75.66782051368425,8.579055834807614,390.93235999999996,5674.19477568097,2929.3353898215387,3279.703235558783,230.85574333744762,0.31831820410127,1.892240594938434,9.684130917728641,8.551726580873478
mp-31094,104.23962,62.416245,10,191.64249796302067,7.44939621811285,859.7334000000001,5016.43563315753,2894.598149091533,3213.7128260859563,165.9534691113981,0.25042492627472696,1.5020417283203114,10.718016019539938,8.58391919411075
mp-15746,191.9067,126.27459,51,624.5134185519179,6.197526390707734,2330.8324780000003,7624.415602084992,4513.867330572221,4999.831505293501,174.14779812433287,0.23018046881808743,1.409185989020491,11.21996269280388,8.618376719183578
mp-979715,70.07549,38.40251,4,92.26528104922473,5.539599181268191,307.79924719999997,4679.003223641755,2632.9380651957295,2929.429558015129,193.0101581621451,0.26831435013881355,1.5919505140497054,10.416931015275473,8.621818569865143
mp-999296,199.99228,71.35263,4,55.1631508328308,10.032102361177653,333.2667,5423.879768834642,2666.914036918035,2994.6601093365553,234.21123623003473,0.3405716551102266,2.055492429509616,9.717507180851257,8.67834584289049
mp-5396,159.7187,64.35548,4,53.31386835754718,9.17464381596694,294.564435,5173.1388913177625,2648.488846392824,2966.838850652888,234.6877579389941,0.3223897719496902,1.9205322695802776,9.906667439951496,8.774755943055043
mp-865925,206.11453,75.42841,4,61.1934467980425,13.095756752622696,482.599,4839.288414410771,2399.9499593512505,2693.576733465783,203.5030505108087,0.33691671997725725,2.0271674543081817,9.848693223328091,8.78746776541914
mp-18995,131.88847,70.22769,10,136.66758930709162,6.347696605209911,522.4354000000001,5960.595373225135,3326.1828217754637,3703.242462229003,214.0442241696699,0.273893328381277,1.6216647162741789,10.559666546227012,8.82221721450039
mp-10900,123.68074,77.79845,12,219.8884851309275,11.285799276586445,1494.4648716000002,4488.906198444038,2625.544007296943,2911.4717008097537,143.61119225582087,0.24000201324334722,1.4531342159401555,11.322902940300276,8.880287026497239
mp-1013540,36.27877,24.772285,5,148.035889,1.853233501381538,165.214462,6115.446029327126,3656.099165582792,4045.944526897856,227.70581889306126,0.2218859642285525,1.3735824840541089,11.866436630409284,8.949754804754859
mp-569257,171.55905,93.345856,17,228.0296492421901,7.342881123027536,1008.344,6349.32309164701,3565.449355460887,3967.6206106892905,193.3494353953788,0.2697146749707472,1.5993302736006896,10.803713171275495,8.963379928608386
mp-2619,131.37915,56.848377,4,70.07169717231416,8.41766514118518,355.21000000000004,4961.065185111689,2598.742286856444,2906.7870308295664,209.91439036554246,0.3109196332304542,1.8424884960643104,10.25123729937409,8.993905518114607
mp-4624,234.66309,104.13031,12,106.43391466764606,7.980419183032369,511.51296,6841.234446078384,3612.232775172634,4038.235257889704,253.69280362274355,0.30671736820281814,1.8151408737001027,10.3161985995637,9.012679768576332
mp-977361,186.96579,71.01051,4,53.17194619027797,10.214111942278718,327.065,5251.119004362449,2636.7018225377187,2957.147300874813,234.1290571426714,0.33143782862640964,1.9858640987004221,10.144132292244137,9.03216963441813
mp-9577,54.855316,34.07258,7,171.7949268072973,2.226696675692112,230.36807720000002,6711.017310584266,3911.7579112905105,4339.1092671478855,232.3844258284749,0.24270413517126918,1.4655825018168613,11.460834462273835,9.038478692148866
mp-1342,54.349003,30.075655,2,43.45357522751698,5.8592296758961995,153.3264,4014.9526916991613,2265.621127503242,2520.1683451523636,213.41794037298038,0.2663998489391205,1.581944584026366,11.06761171408919,9.13002749161572
mp-3433,120.91487,60.914948,6,83.65338242443835,6.907572148963441,347.98445,5409.508723953368,2969.6086684398983,3310.482817831104,225.35820762085513,0.28432582919646315,1.6795561751843378,10.758890974811573,9.13584143667699
mp-636334,177.02602,93.498665,12,189.6000637990986,11.36876830919187,1298.084,5151.389759811394,2867.7810900938275,3193.4820831930815,165.49880713574413,0.27545114321496394,1.6301131559934432,11.14473976181262,9.334643316958157
mp-1018031,87.509026,45.73501,4,58.22884293165756,5.301827608261226,185.9151,5292.177532773179,2937.051621126701,3271.420548373857,251.2851750297934,0.27745395683469265,1.6410743079101642,11.14435895220224,9.36426604960857
mp-542583,37.875877,25.431322,2,70.8869659513072,6.548833597736877,279.56399999999996,3310.7985970691348,1970.6182092660247,2181.668122289561,156.94341562675993,0.22567759090894687,1.3896915573282096,12.536343068555686,9.535126758579445
mp-2579,158.29004,79.30352,6,110.74109680847836,16.647161243959896,1110.1966400000001,3982.492463108533,2182.60999543988,2433.4540631133827,150.86786894592754,0.285346566983106,1.6853905262924165,11.222600461292906,9.543848987591408
mp-867373,203.25705,111.12125,21,232.2356455548091,7.29144102582102,1019.7486739999999,6942.337946294401,3903.8387278393448,4343.69075126604,210.3903495458454,0.2687839714851296,1.594419645350795,11.54254667461146,9.561163614801657
mp-1543,96.79352,60.04798,6,106.75576252015794,10.588425510935137,680.7280000000001,4086.91896823061,2381.40638059067,2641.6500811962946,165.78862290350472,0.24296619532208533,1.4667982211320492,12.220761340505343,9.642935777517554
mp-24095,59.53481,37.242153,3,42.81708869653858,5.542882822207057,142.92353,4438.391338070939,2592.086810130817,2874.7643198581195,244.64691561898277,0.24119009630527294,1.4585880666131907,12.310541459998618,9.678547134139793
mp-9552,167.95006,97.695885,18,235.48736543910474,7.425126589680798,1052.985462,6337.384759704949,3627.322784985715,4030.0443626288757,194.2959882457741,0.25638802510422654,1.5311399349471344,12.021280337707172,9.73828714938403
mp-850135,127.215385,76.17889,15,149.1660609250379,3.9485003796142126,354.6934,7612.017874380788,4392.393274213184,4876.623972022404,273.7615634159224,0.2504104824748243,1.501972258865637,12.174210573488836,9.749891057912821
mp-18805,132.34962,73.136566,10,121.73603139187027,5.812343494766093,426.109595,6288.699415230437,3547.248770971823,3945.9212875395324,237.03833153353781,0.26667749288847686,1.5833897214314365,11.858110492740048,9.786874060731812
mp-542021,179.99402,105.562,20,270.7998626224814,8.31566776008977,1356.1148480000002,6210.552877914699,3562.913124314772,3957.7008625058425,182.12519480217102,0.25471388177313714,1.5228855439069575,12.16586828254594,9.824293735339133
mp-3359,94.38819,57.2088,7,116.5825349970148,6.51441320471551,457.36159999999995,5118.428152658712,2963.4238571549563,3289.1497427224585,200.4544451049484,0.24788509825070582,1.4898997381508752,12.380764403180006,9.866196935255104
mp-1018082,162.05118,67.24653,4,54.268716503662645,8.923198653280279,291.62248999999997,5311.200998858116,2745.2041979127794,3073.312812842278,241.6759642926009,0.31772718472618083,1.8881887159890505,11.180484690786642,9.868443217836392
mp-1471,114.21729,50.82078,4,83.8403674789302,5.954732333202287,300.65353860000005,5528.135994386692,2921.390066153388,3265.7284421216923,222.14619961076798,0.3062605568904692,1.812206454687494,11.319710680223109,9.884619213813595
mp-864896,152.56453,62.742115,4,68.3440056879729,8.245869229954,339.38119500000005,5352.303467938882,2758.426114650605,3088.6919434414385,224.9146075054866,0.3191646394413731,1.8980675450651805,11.197429065531175,9.894618351737126
mp-2130,119.62021,69.394745,6,85.2413109706365,11.390366978622705,584.7076,4315.678894425094,2468.280052393566,2742.4984092592213,185.52661518251017,0.2569391607953582,1.5338720769092702,12.37706270234338,10.036870343708555
mp-2078,126.52843,57.294685,4,56.4596007878481,6.5535581797951,222.826,5564.488922037407,2956.77712586125,3304.0310948850024,256.4138041287625,0.3032822866935913,1.7932557899023573,11.571161603762018,10.071373828164937
mp-1005829,150.06653,98.89067,21,273.32030247707235,7.149525760046942,1176.7928740000002,6279.497960444788,3719.1101717790607,4119.357232886356,188.97979285070883,0.22985135298603326,1.4077475244895012,13.377257315008434,10.268126454630892
mp-546546,44.53885,37.372353,9,143.25760845112615,2.0893618563948384,180.2529,6720.584493447076,4229.298982459803,4655.483431027372,264.89195182696915,0.17215106271648975,1.1851507347325134,15.416481699897686,10.307490808705175
mp-551918,137.14542,82.205666,10,113.67521281766368,8.296037323766836,567.9202772,5453.757673933443,3147.860850590932,3494.8070871060067,214.78856644315465,0.25020657197716034,1.5009920373154328,12.917159674728076,10.34077424021072
mp-31180,103.76116,67.53608,12,203.12649082859372,5.3810399244076255,658.2391087999999,6001.421921221315,3542.703574989624,3925.1794294792558,198.79885066664315,0.2325794901890105,1.4197372751144324,13.554541201778347,10.46560468103336
mp-18839,126.862144,69.32956,7,93.75261276117821,7.164584484544799,404.5063,5532.550106221406,3110.740014816024,3461.2633543047186,226.83847978268085,0.2688583226544262,1.59481109654073,12.716848985137192,10.535227665833137
mp-510404,80.38126,38.99986,2,49.363680246842414,7.945840575666616,236.20999999999998,4081.7182651862367,2215.448169000945,2471.860468380154,200.61557744714466,0.29117931152104876,1.719337940182188,12.317320423846466,10.561021765211976
mp-2143,77.44863,40.18947,2,51.686159817572374,10.184011954596949,316.98891,3587.017782084977,1986.5371013519928,2213.0602498440107,176.87984916617725,0.2788022794848048,1.6485172675639332,12.612386851606905,10.620306597890526
mp-555792,94.991234,77.41025,18,264.800583322023,6.263958081265271,998.89233856,5625.132628166005,3515.4004783258397,3872.600234974002,179.5448277351017,0.17957914698073543,1.2108492820153915,15.587774367214427,10.621401921043951
mp-979288,200.40564,80.424545,4,67.01319798526397,13.819596036273573,557.70764,4718.159021766663,2412.3850751492514,2702.5778520769595,198.0924739033181,0.3230201296985331,1.9249723005665222,12.111715852223961,10.73249837551052
mp-12894,120.017975,56.405453,5,82.1176325089724,4.8910776564421115,241.8755,6317.797693819064,3395.926371552763,3791.6591705437995,259.713004055763,0.29683930628906335,1.753303629246031,12.426928683413516,10.73382447333057
mp-20238,109.172226,60.98632,5,88.46668205940524,9.178788779503531,489.00806,4555.545070857788,2577.647509828207,2866.608987293112,191.53659179823654,0.2645333983741562,1.5722815022784171,13.110248656138165,10.779609250719215
mp-2677,147.15828,66.75798,4,63.028097850547894,9.595637057498019,364.215912,4961.05978296954,2637.6349462510075,2947.2907452065106,220.4896072310637,0.3029702729516691,1.7912884145514958,12.505003071167822,10.88035290693481
mp-35555,119.42009,51.82093,3,47.95807070507113,6.021367730523264,173.90327320000003,5595.320828037758,2933.6279047797625,3281.1699725668677,268.87558661861135,0.31044877017396216,1.8393921011220176,12.4384551764164,10.907891479514264
mp-10450,80.85073,50.61569,6,135.85694828669745,5.879833456041724,481.0583772,5022.7800710422425,2933.999672886751,3253.9017408936083,188.4460446203939,0.24102370884540544,1.4578224378453644,13.929506000223729,10.947630444586869
mp-765747,121.868706,81.49825,16,147.9715908232271,4.03559847993738,359.6145,7558.099825562124,4493.866580530525,4975.656453821017,280.0705747982403,0.2265797849105232,1.3935654932679669,14.551677914711295,11.0900222225138
mp-978918,62.32725,35.15427,2,54.35472679735671,7.642072607384412,250.14935000000003,3780.1146731534795,2144.7835164098346,2384.6724872558657,187.42442150893731,0.2626166099526428,1.5624507272947743,13.539362734956415,11.094411290542011
mp-1688,87.90524,42.120472,2,47.49113711210599,8.46790311811621,242.18059999999997,4124.702369135509,2230.276324138153,2489.1021898624394,204.63586320020147,0.2934165158212307,1.7326403122564824,13.01049618722215,11.188694604133273
mp-1018156,98.52891,53.576675,3,64.55706314504272,12.073691957582184,469.391,3751.967226608465,2106.530903792267,2344.1750912386933,173.97439525293558,0.2698355221196311,1.5999695834976482,13.62046784329567,11.302640769484821
mp-9549,109.93622,67.23117,9,148.4054404002203,5.8219983664026405,520.3227360000001,5854.907851323288,3398.2028288916413,3770.89135322864,212.04951786567307,0.24600344406643343,1.4809987861127352,14.239779110687342,11.305191809435355
mp-975044,152.29817,83.4346,10,133.8639604329469,6.671805414794308,537.846,6284.997909456286,3536.318805372364,3934.569147160043,228.99139838048964,0.2683783941774042,1.5922868959336467,13.758835669457472,11.389079014284953
mp-10564,74.54815,40.979774,3,45.67856419403005,4.203586118784992,115.63340000000001,5543.714578639599,3122.30128212608,3473.6459882862255,289.3063402009892,0.26770962415352395,1.5887796041496902,13.961931200607165,11.543882232931123
mp-753946,82.27155,45.864594,4,56.41217579272478,3.826781043053381,130.00419499999998,6122.018442312557,3461.9593762620034,3850.242908832122,298.8870210043763,0.26494101358905275,1.5743841647880332,14.207697656373803,11.690391240525559
mp-8125,97.86699,62.66977,6,103.99420013752915,8.513882973858445,533.197,4616.222572580723,2713.09630413989,3007.227283656307,190.38808121987714,0.236142645890909,1.435625640194842,15.060336647883124,11.716662852059006
mp-215,58.179504,32.752888,2,59.91639575756926,5.838449893208864,210.66585,4176.685586118555,2368.5143459327837,2633.5458659659103,200.37130953402283,0.2629938754178605,1.5643782573388834,14.353352984749776,11.769380828030037
mp-601842,168.08177,107.77095,16,182.58218119374217,8.322944430149494,915.137365,6120.446396355262,3598.4241994250315,3988.407270736877,209.30996862763746,0.23586252764553642,1.4343670541950382,15.567867302670072,12.104357865400367
mp-976419,98.60347,60.257774,4,92.07541678621793,13.425830881040953,744.4504000000001,3650.8318953337835,2118.5365314349488,2350.922201339317,155.0006680058316,0.24615351288502557,1.4817057465128818,15.253970347858845,12.114013187737754
mp-977145,71.83376,48.774464,4,97.60128963330563,8.945095553767564,525.764722,3911.613139777649,2335.0907265506385,2584.446582106847,167.1189064294885,0.22316152066142617,1.3789710578092966,16.103537250691854,12.180108191106777
mp-5076,137.18411,78.91778,10,139.29130421079208,5.408526220843292,453.6844,6694.741784986816,3819.864473506943,4245.099037910861,243.81272521382047,0.25864650952577495,1.542382756706744,15.218566973253134,12.380393357343188
mp-13164,136.34352,59.35754,3,47.86849898976886,7.012641340815824,202.154,5543.315928667784,2909.3577896241836,3253.798933393813,266.79887026042945,0.3099091126921549,1.8358533661010301,14.177331002673247,12.426239394260241
mp-1016841,149.89107,77.1509,5,70.07409939156388,10.120430269410022,427.07820000000004,4997.511195022146,2761.0292971191657,3076.4451415485205,222.1637567445813,0.2803320911226024,1.657024988404864,14.739346234084799,12.440790305905892
mp-1013584,21.012764,26.089457,5,279.42239633610365,4.413811914129676,742.7214,3555.5365929185145,2431.2275316326627,2648.832862477353,120.62686153408221,0.06092030259235837,0.8757133063552427,25.344895113111495,12.54675049076825
mp-16498,103.396164,75.15694,13,196.07180394078216,5.254158365816313,620.3963088,6225.053309093921,3782.0995486639317,4178.729486517301,214.14885324497604,0.20744324155894991,1.3146577194703521,17.22210043941065,12.564306473487889
mp-569298,89.06847,56.206635,5,81.10471158119307,6.301647686794132,307.78759,5101.630098977047,2986.528967318625,3311.5055920350246,227.76483581395496,0.23931103613792076,1.4499762581863993,16.088156993672456,12.599514952153504
mp-557134,58.921875,51.046024,12,173.91649440072413,2.29471800067043,240.3372,7438.896867809643,4716.461572036863,5187.395690481615,276.68078314049836,0.16389322374090665,1.157472853943847,19.715936041768384,12.903424159603205
mp-776490,223.83754,142.83316,40,335.2503725192363,4.040220639524978,815.6902176,10126.173248735062,5945.82306530818,6590.994188811607,282.46916709203094,0.2369056756247198,1.4390622943998093,16.586133529623197,12.924437719831806
mp-867840,205.13054,84.53857,4,48.37318646515999,9.29140963761529,270.668182,5848.835004027524,3016.3840530573393,3377.387214488052,275.9661616731257,0.31882786294248383,1.895745743175109,14.74043371055902,13.021993132880453
mp-570811,121.44661,78.07131,6,120.39597537044702,14.159786523174922,1026.6433,3991.030615908892,2348.1043107537603,2602.4149455155225,156.90944932449898,0.23529832036308532,1.4318370030490455,17.143490087794337,13.313551120819566
mp-3710,190.75748,88.747696,5,72.29709375236472,11.127157339260268,484.45781999999997,5270.463058264642,2824.1413446460506,3153.9489579544297,225.40190961575803,0.2986119656888527,1.7641562004762057,15.3859587334467,13.318770413508826
mp-625054,109.031296,67.91287,8,63.32043996119724,3.1463104284682895,119.9765572,7964.5211277495355,4645.9578415615715,5153.16370397615,384.9188458611952,0.24210741988635134,1.46281988827942,17.08775367557625,13.459682943976258
mp-4771,132.65295,65.51296,4,53.431661134014846,6.275869902359717,201.9405386,5920.76601752854,3230.9233332376484,3603.4227007780514,284.83424023433446,0.28797105177424326,1.7005359992617277,15.848827989878197,13.528844489320315
mp-21256,275.53452,181.28896,40,355.48977225851394,7.858680107684596,1682.3936600000002,8112.911733630913,4802.980994813966,5320.080565016153,223.59000347118808,0.23019598690093046,1.4092538673631008,18.109405103440285,13.910823676134493
mp-30195,111.11734,74.73236,8,132.485013047006,7.280221791378322,580.847688,5380.495877269046,3203.922821426988,3546.909491597589,207.1433835390605,0.22530550526431517,1.3880984694837117,18.48819679967735,14.050539360947537
mp-866069,136.45322,68.03999,4,62.6573017657397,7.289934991874793,275.071912,5582.345820104121,3055.06393427732,3406.545476577881,255.34861412063063,0.286216883666676,1.6903898242816287,16.618176681616674,14.150141551044705
mp-30819,121.87653,67.17917,4,55.00699390286103,7.727711936394323,255.98807720000002,5230.90833959672,2948.4369854574034,3280.0058795923187,256.7705405108353,0.2671748854450604,1.5859836735190964,17.30928597639205,14.298264986801717
mp-7473,97.26272,59.37214,4,46.43344287518297,5.7976339115828734,162.11849999999998,5516.395142780717,3200.11771079207,3551.2409000927964,294.15735746790773,0.24638872324437325,1.482814816660516,18.042811392976112,14.335524342811091
mp-754808,131.80856,77.908936,7,97.00109844031373,6.2674118809560015,366.11354,6132.306018742864,3525.7337836992106,3915.660156007126,253.72074902023886,0.25310614389420977,1.515021471940245,18.223905351256846,14.671225143397871
mp-865138,189.26198,90.970474,4,65.60653782961435,15.291004194301635,604.135045,4506.630126400025,2439.1147115626986,2721.986034917898,200.93090011115586,0.29285861552901366,1.7293081457104904,17.181419719935665,14.764717833928456
mp-754537,96.22413,63.24351,4,46.7122137641107,7.604019803072564,213.9068,4872.767602334234,2883.940972126281,3194.5177612840153,264.08173678425874,0.23043199965555466,1.4102868165956792,19.256017043243265,14.79915977007135
mp-12274,101.314644,74.41173,12,216.46300885348435,4.691188865979721,611.5296388,6538.054162895854,3982.7150549608714,4399.214116222034,218.13419271590348,0.20499291919656906,1.3050264670665683,20.411560496724086,14.805034764548902
mp-39995,151.2402,83.24473,9,124.32750041080763,4.43916013847754,332.36778,7685.876800053204,4330.399495589476,4817.54228755998,287.3732536211956,0.2674578304907743,1.587462144665968,18.33852099886566,15.155892960853473
mp-924129,120.17113,60.84989,3,57.171349182554344,7.802269826763436,268.62739999999997,5079.442707203424,2792.6687283870924,3112.86910278104,240.57172858240003,0.28338208405236326,1.6741895477489395,17.924158051836034,15.198930733991565
mp-559998,127.71088,105.24369,18,264.5671048427267,7.649243943542441,1218.7237037999998,5919.5288847061165,3709.2728327138816,4084.981222527136,189.4471137997599,0.1767543197565861,1.200984550785949,22.73220047163975,15.378831981307039
mp-333,156.29228,91.12057,6,86.44357376713732,11.148433735912691,580.36,4991.700768556517,2858.9152356385252,3176.151215099571,213.86192749004704,0.25592593120900325,1.528854850261688,19.041238844215798,15.41166008274378
mp-568924,163.49135,88.27343,6,77.87836066621249,8.109932864386543,380.35135,5888.311037588759,3299.1827373339815,3671.9857694092907,255.9991948530269,0.27121259248991475,1.6072822048126558,18.53103507962668,15.41334692203349
mp-20618,135.11385,103.29983,20,297.39532864432465,5.528205482382079,990.0775699999999,7025.34192835483,4322.726013959722,4769.851404890169,212.7502173744157,0.19536544339143042,1.2681544035515333,21.76137742235369,15.422168448262429
