material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,space_group,crystal_system,worse_model_Kappa_cal,formula_reduced,also_in_this_screen
f3a677860c,Cs2NiPdPtSe4,9,273.701483161871,5.714166716922666,941.8483038,19.62270622107098,7.206360502732144,0.0757206375571556,0.0444337588974156,0.3364036933692627,2.0232417821870428,0.2887847795065573,0.169724342367757,0.2900248322504093,0.4865124730490707,True,15.8093843460083,6.257165908813477,0.253494039829044,True,True,C2/m,monoclinic,0.2887847795065573,Cs2NiPdPtSe4,False
3b581a1679,Zr(GaI3)2,9,382.1664833838405,4.3107273960146335,992.09682,4.710672458287132,3.480495180075541,0.0653502170027269,0.0450570519494911,0.203577626767971,1.2995099463283164,0.2531236907958196,0.1546982838627665,0.2504012830701734,0.3952735774995022,True,3.4308791160583496,3.300595283508301,0.2921244216131761,True,True,R-3,trigonal,0.2921244216131761,Zr(GaI3)2,False
c03b821eda,Ag3HgAsO4,9,146.94118851876254,7.493653638846149,663.1138000000001,52.92164909557099,12.587567428372283,0.021726989796102,0.0548572331247012,0.3898098976023013,2.509979984053035,0.2929269394868671,0.1677542490590502,0.2911106061812037,0.4951831685996306,True,50.27485656738281,9.793946266174316,0.1620202032126562,True,True,P1,triclinic,0.2929269394868671,Ag3HgAsO4,False
452c058c00,ZrTi(ICl)3,8,322.24501930061376,3.226640424388373,626.16341,5.119722206489102,3.0053335317366447,0.0079798283316833,0.067789565559859,0.2545263818514859,1.5219652483305082,0.2008915079593125,0.1043445720336548,0.1998810749990568,0.3792222675342649,True,4.228338241577148,3.269581794738769,0.2948177789729538,True,True,P1,triclinic,0.2948177789729538,ZrTi(ICl)3,False
ce4bc117e8,ErZrBr6,8,322.6350417627714,3.7978621170062232,737.9069999999999,9.01830201945322,4.595796892273537,0.1162087767356542,0.0381646187421859,0.2821945582326348,1.6674740899347125,0.303878907849183,0.1705327868596648,0.3022060709384606,0.5208954622316613,True,6.816054821014404,4.035876274108887,0.2907363178037401,True,True,P-31m,trigonal,0.303878907849183,ErZrBr6,False
3e16fd27f7,K3BiSbAu3,8,259.6419831140217,6.644503899180879,1038.935007,24.609427989085344,8.02859080237067,0.0524749987592576,0.0155565047891669,0.352878744302799,2.155721504688769,0.3055949260267969,0.2342992725010391,0.3051812494716065,0.400998615106963,True,22.783767700195312,7.798890113830566,0.3085070999858078,True,True,R3m,trigonal,0.3085070999858078,K3BiSbAu3,False
6159616c79,K2RbCu(SbAu)2,8,251.98343117704937,5.698023793122975,864.663538,22.012882615977382,7.561685281230741,0.0581765191680003,0.0939690174047275,0.3458902638125176,2.097863576992084,0.3161322546362415,0.1197848572385323,0.3250654777766689,0.8138553756023048,True,18.070751190185547,6.058770179748535,0.2207529084913159,True,True,C2/m,monoclinic,0.3161322546362415,K2RbCu(SbAu)2,False
c4d8bb3c6f,Rb3Ag(SbAu)2,8,284.86623846527834,5.8392425606988825,1001.724738,18.73696976889577,7.041712083628168,0.0354858586347397,0.0201583093923616,0.3330097963804,1.997575825782819,0.3226321023706863,0.2542094363673229,0.3239223105220535,0.4150729697428003,True,14.93882656097412,6.153470516204834,0.2911044557660031,True,True,C2/m,monoclinic,0.3226321023706863,Rb3Ag(SbAu)2,False
0f007e6887,KTmSnI6,9,425.72778609638704,4.244373388530475,1088.16933,6.795661533593534,4.070330467818094,0.0481223658561396,0.0617649695102589,0.2503611625150905,1.5017350840259804,0.2746449166739467,0.1493397536553522,0.2740031401948885,0.4960861182130097,True,7.7534260749816895,4.578826904296875,0.3231858687060967,True,True,R3,trigonal,0.3231858687060967,KTmSnI6,False
391d35ee8b,Cs2Ru(Cl2F)2,9,272.4120433729692,3.3324503980198514,546.6897102,15.075686412274708,6.1166471464225145,0.0345392029540277,0.0481826006608515,0.3213029139121995,1.9129148663895348,0.3290276993912778,0.2007271382133726,0.3310986074118939,0.5495306067748716,True,10.167906761169434,4.63070011138916,0.2451995821745126,True,True,I4/mmm,tetragonal,0.3290276993912778,Cs2Ru(Cl2F)2,False
32e397f80a,HfRuI6,8,357.03519554847594,4.841537490961708,1040.98682,7.750571108560947,2.69948779295144,0.0167591699151115,0.0188961978035706,0.3439674652854658,2.082384244418772,0.0834238970814932,0.0685677454592265,0.0833972234017648,0.1021410959601975,True,4.1545820236206055,3.696238040924072,0.3373261835353452,True,True,P-31m,trigonal,0.3373261835353452,HfRuI6,False
844b1549b9,TmSbI6,8,381.6516588691143,4.577703345307631,1052.12103,6.120793612827262,2.694243289599966,0.0155202119368399,0.0412330234286592,0.3080715640922581,1.823883754548535,0.1127364618240221,0.0754372698088972,0.1127086116259778,0.166785665410179,True,3.278831243515014,3.367283582687378,0.3455403860549919,True,True,R3,trigonal,0.3455403860549919,TmSbI6,False
7b77d5ff30,NaScSnI6,9,378.3817451763693,4.160687068032361,948.08250128,8.123386745451995,4.890329341857659,0.0394881649586263,0.0779532363831811,0.2493037840949782,1.4966637382762369,0.3529717430071758,0.1639738619650358,0.3524149838815994,0.7177984559781839,True,7.192596912384033,3.8080742359161377,0.2134319318197143,True,True,R3,trigonal,0.3529717430071758,NaScSnI6,False
e8275d9285,ZrFeI6,8,342.75066177148864,4.401429293421141,908.49582,5.340325789412123,2.7599251613022626,0.012248907267852,0.0334460780033955,0.2795692866494476,1.6527744085900675,0.1359806961998808,0.0967362555219826,0.1371575402303522,0.1869022211975461,True,0.162647545337677,1.944197416305542,0.3542924463985213,True,True,P-31m,trigonal,0.3542924463985213,ZrFeI6,False
26f790a4a2,KRb2BiO4,8,189.4956696301344,4.232604007620725,483.0119,27.24195816274789,8.472903868089926,0.04560555343489,0.0519411546556306,0.3590961426115318,2.20940570749865,0.3545046186753142,0.2056419133595467,0.3568846366477519,0.607598117671654,True,21.51108169555664,7.445504665374756,0.3286285492502651,True,True,C2,monoclinic,0.3545046186753142,KRb2BiO4,False
0a7c624c48,Ru(IF)2,5,143.35853838054362,4.550726684981649,392.8757464,18.41628577208736,6.32881991821921,0.0644462405401478,0.0595606259537048,0.3458332580298603,2.0974019877608607,0.3592645997516568,0.1952177631863263,0.3587240074040765,0.6923260849745336,True,6.6318182945251465,3.2454257011413574,0.1928957995095891,True,True,Cmmm,orthorhombic,0.3592645997516568,Ru(IF)2,False
198468c59e,V(OF3)2,9,128.5474611956122,2.5438942944543816,196.9307192,6.24544631054811,3.820818604056623,0.1325945574515759,0.1215771096923182,0.2459241973633341,1.4806256656552186,0.2209559334425295,0.0623068694557536,0.2257354879529509,0.6949024509376537,True,8.888897895812988,5.357105255126953,0.3615272691140203,True,True,P-1,triclinic,0.3615272691140203,V(OF3)2,False
3b9554aae1,TmGaSnI6,9,403.4390439426208,4.604911757508726,1118.79403,5.743317472280869,3.5712775455611565,0.0806736755623282,0.077787821641968,0.2424711746361225,1.4645030392574971,0.2207216639348092,0.0979493617167214,0.2214859321402483,0.4602721081895864,True,4.505500316619873,4.057983875274658,0.3721055276927121,True,True,R3,trigonal,0.3721055276927121,TmGaSnI6,False
