material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system
c5e7e87eb2,Hf2Zr4CoBr15,22,642.8875818956757,5.112588845506112,1979.369195,6.12678159402205,3.9199541826933033,0.0909048028427874,0.018046252557945,0.2363294867332563,1.4364660368464608,0.1182941249109202,0.0785474146105607,0.1177988750444128,0.1673607291325119,True,Fmm2,42.0,orthorhombic
d825730a55,Ta4S9I8,21,776.4748666126537,4.33617307183435,2027.61228,7.867476948224702,3.7590806756619006,0.1198054957071007,0.0277054780668945,0.2939214356157906,1.7356646414601389,0.100467689732136,0.0572281118865326,0.0997662121614654,0.1688869886725604,True,I4mm,107.0,tetragonal
9a62a7db3f,SrHg2(SI)2,28,909.9205295680384,5.88896056197373,3226.9557600000003,23.89562473032836,7.279557355848676,0.068307854327354,0.0325555067500231,0.3617217997587123,2.2327344178082846,0.1127471230104462,0.0734084173722703,0.1124067754832082,0.1722117291691683,True,P4/mbm,127.0,tetragonal
f0ef966f88,MnRuCl6,24,646.1366404995398,2.842822856992692,1106.178135,8.314291672683318,4.074377343140856,0.0178531145268788,0.0406949374460635,0.2893816430777846,1.7087633519251364,0.1183089610608538,0.080419370694668,0.1179421374416116,0.1734134443972372,True,P3_112,151.0,trigonal
8a08b59dac,CsHf2Zr4BI14,44,1589.6486055259395,5.5201730687755,5284.5100638,6.536584656205304,4.566637122841787,0.0397774962455913,0.0521224274720347,0.2166675680274302,1.3518555611628358,0.1050973648623108,0.061706340145491,0.1066405379118251,0.1754585655540393,True,Cmce,64.0,orthorhombic
0425f781f0,Rb3Re2Br10N,32,1116.3613588134283,4.289420537930523,2883.7282,9.785518380597214,4.462428797282016,0.1202562929459922,0.0536576698546008,0.3020743849672744,1.7856581863145964,0.0921464609867787,0.045868125799337,0.091572327589289,0.1772442076318,True,P4/mnc,128.0,tetragonal
cd379c88b3,Sr2Hf6BBr17,26,796.907077632929,5.449701628515299,2615.359,12.110746971122325,5.342512816886462,0.1000438170574692,0.0221624278540138,0.3077068606763676,1.8215226870159784,0.1137278756809353,0.0714694139693187,0.1143649012208763,0.1774830335704927,True,I4/m,87.0,tetragonal
b4d98216ae,Hf3Zr3CoCl15,22,553.9346094729941,4.196414360939992,1399.870195,6.824016770574034,4.067668714311228,0.0896404819133455,0.0298849119216589,0.2513621462008602,1.5065597465653997,0.1226584077625777,0.0755874896386878,0.1219065607826354,0.1858283096484608,True,Imm2,44.0,orthorhombic
805ef1755e,CsK3Se24,28,954.6935356452512,3.731307779460356,2145.2403519,9.021304389969396,3.8923340012718266,0.0818157233740452,0.0800771520586914,0.3113950644720485,1.845623258897097,0.0823238925246905,0.0348665063937118,0.0835276061006107,0.191243134409842,True,I222,23.0,orthorhombic
655d2e49bc,Rb8HfBi4,26,1318.603572391143,4.277026273983593,3396.308,13.784772657086224,4.947565908988945,0.0715282059689356,0.0518925319408219,0.3397182092487307,2.048821731457473,0.1082572584549107,0.0583600276234865,0.1069431066656482,0.1943064448334084,True,Fd-3m,227.0,cubic
ef6a1949fb,Rb3Li2HfBi3,36,1318.4828320508138,5.4191663265189804,4302.8664,22.471332201065334,8.115810870678269,0.0542515295257169,0.0234110485178765,0.3388223575145708,2.041856942670697,0.1469273898568815,0.1050325355938498,0.1447148092932433,0.1981826914647248,True,Ibca,73.0,orthorhombic
2ae9b52a37,CeAg2F6,18,335.81369885157,4.646578505887346,939.6856384,57.960225808403045,8.907622181115876,0.0792813556053544,0.0718892953144469,0.4269021414365656,2.975632321059951,0.0920134365691616,0.044081449380036,0.0928971144731858,0.2008640470486793,True,P4_2/mnm,136.0,tetragonal
45218a7f0f,Cs2Zr(PdSe2)3,24,726.6570050682662,5.256155478700773,2300.1098076,19.98840912415496,6.351847403079464,0.0785844225095192,0.0551459816380791,0.3563300456652117,2.1852561925955443,0.1103249952107904,0.0573367728988452,0.1095519358064451,0.2031965798463728,True,Fmmm,69.0,orthorhombic
617d4ed7ea,Rb8Dy6ZnBr20,35,1336.797138057719,4.126800453588787,3322.2314,13.82167594247932,6.826297989006168,0.0151839959323096,0.0102633528896892,0.2879650887525949,1.700501349699733,0.1875743924092654,0.167919479129015,0.1870730081238145,0.209219460859799,True,Fm-3m,225.0,cubic
ac752ecac2,ReTeBr,36,1225.6631687526196,6.400836843573443,4724.531999999999,16.55750351367429,6.127267915725899,0.0932353347314558,0.0771986587585309,0.3352878429309025,2.014745281363601,0.0888905723665986,0.0375373813037885,0.0873389231613214,0.2093591207658236,True,C222_1,20.0,orthorhombic
7e5bd92339,Cs4NbV(AgTe4)2,16,684.2063700058469,4.640355523795464,1912.0060876,11.054108142590245,5.152083416503116,0.0122512248377204,0.0096689276651447,0.2982971534842693,1.76222123034571,0.1910503462089298,0.1713213355702962,0.1907157578301522,0.2126235694062055,True,F222,22.0,orthorhombic
794eed8a51,Cs2W(SeS)2,28,1066.8050576296998,4.182153376239193,2686.8036152,10.127453018251453,3.981181383976708,0.0246670367003726,0.1108322557523801,0.3262177878146021,1.947748796069445,0.0755122293812625,0.0250890802062288,0.0748645254698266,0.2147237499980208,True,P2_12_12_1,19.0,orthorhombic
8dcc2afc63,Na(YI3)2,18,797.078522831618,4.009185097330825,1924.45657856,14.862559626847885,4.562678007628252,0.1638774191831548,0.0396688096503651,0.3607534625432312,2.224084224220295,0.1017856750543721,0.045891597514706,0.1017667155924797,0.2199509178831061,True,P31c,159.0,trigonal
