compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density
Au2La2,aflow:4c66320b9dcb1592,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Au1La1_ICSD_612099,63,oS8,2.1904,0.662441,115.98,11.9154,64.8853,11.3888,4,9.82693
Ru8Si16,aflow:78c3b920d14fe247,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ru1Si2_ICSD_154012,64,oS48,2.19042,6.18898,579.95,60.2405,184.19,108.031,24,6.17428
As14Re6,aflow:44033f0117971e6c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/As7Re3_ICSD_25787,229,cI40,2.19048,3.40014,350.04,56.1815,159.961,79.0975,20,10.3337
Br10Cs2Sn4,aflow:36c4141c3de2e357,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Br5Cs1Sn2_ICSD_151987,140,tI32,2.19076,0.637468,182.154,47.2157,8.93669,5.77115,16,4.23434
Cd4O8,aflow:41ffda8c17fe1297,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cd1O2_ICSD_109339,205,cP12,2.19089,2.15515,363.137,33.5791,106.922,39.0598,12,6.14323
Cs3I9Sb2,aflow:27d05030276c6992,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cs3I9Sb2_ICSD_39822,164,hP14,2.19097,0.394267,133.022,41.6394,8.44548,4.83847,14,4.29236
As2Cd2K2,aflow:3d43bc3c329d30c7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/As1Cd1K1_ICSD_609963,129,tP6,2.19111,1.84183,233.011,17.5114,28.1584,17.3694,6,4.44441
Ag3Ge3Tb3,aflow:1c078231c9db1aff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ge1Tb1_ICSD_86730,189,hP9,2.19168,1.04216,190.086,26.4939,71.3366,21.6575,9,8.64771
Dy1Pt2Si2,aflow:4f5d607b987fed0e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Dy1Pt2Si2_ICSD_103358,139,tI10,2.19172,3.49274,250.045,14.5036,145.601,41.3417,5,11.7858
O8Sb2V2,aflow:626f0176aa84f711,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/O4Sb1V1_ICSD_84567,109,tI24,2.19186,9.59146,647.19,28.8761,169.064,103.734,12,5.69746
