compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,agl_gruneisen,agl_thermal_conductivity_300K,agl_debye,agl_heat_capacity_Cv_300K,ael_bulk_modulus_vrh,ael_shear_modulus_vrh,natoms,density,poscar_file
Na2S1,aflow:eceefbe0f5d07d00,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Na2S1_ICSD_56024,225,cF12,2.0229,3.52548,340.142,8.48853,29.3944,18.3533,3,1.85307,aflow_eceefbe0f5d07d00.poscar
As8O12,aflow:8f6257240271b02a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As2O3_ICSD_16850,227,cF80,2.02312,7.92942,604.907,49.453,5.13889,5.17245,20,3.38715,aflow_8f6257240271b02a.poscar
Ba2Hg1,aflow:5d5d9f727e2fbf3a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ba2Hg1_ICSD_30084,139,tI6,2.02351,1.2922,124.05,8.93158,15.9586,10.0205,3,5.70529,aflow_5d5d9f727e2fbf3a.poscar
Ba1Te1,aflow:e00b430dded98dba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1Te1_ICSD_108097,221,cP2,2.02374,2.6017,154.971,5.92513,31.7389,14.5297,2,5.67639,aflow_e00b430dded98dba.poscar
Al2Li2Te4,aflow:d1883835918feb41,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Al1Li1Te2_ICSD_162672,122,tI16,2.02473,1.53133,222.016,23.3943,27.9597,13.8082,8,3.90229,aflow_d1883835918feb41.poscar
C1Na4O4,aflow:5fd7303c36d270a3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Na4O4_ICSD_245406,215,cP9,2.02534,3.84359,539.806,23.1663,30.5722,13.3117,9,2.64199,aflow_5fd7303c36d270a3.poscar
Pb3Yb1,aflow:0132ab6b9cddd429,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb3Yb1_ICSD_105646,221,cP4,2.02566,2.73178,165.058,11.8327,25.6389,18.7323,4,10.9498,aflow_0132ab6b9cddd429.poscar
As8O12,aflow:95ecf65035751e51,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As4O6_ICSD_36144,227,cF80,2.02575,10.0756,656.941,47.8089,5.66667,6.74,20,3.44543,aflow_95ecf65035751e51.poscar
Cs2N6,aflow:5bfcd57eefb4414d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1N3_ICSD_155170,140,tI16,2.02584,3.32689,350.871,22.4891,14.4859,6.97377,8,3.15235,aflow_5bfcd57eefb4414d.poscar
S4Tl3V1,aflow:cbd1d77464c9957c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/S4Tl3V1_ICSD_16572,217,cI16,2.0259,1.32044,191.975,23.5467,22.1611,9.52593,8,5.79813,aflow_cbd1d77464c9957c.poscar
K1Mn1Te2,aflow:672f28f8caaed3f0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/K1Mn1Te2_ICSD_87983,119,tI8,2.02668,0.9123,147.984,11.8677,21.0419,7.77356,4,4.09036,aflow_672f28f8caaed3f0.poscar
As4K12S12,aflow:912cd1cff7b1044b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1K3S3_ICSD_610764,198,cP28,2.02977,0.620319,262.117,81.0996,15.7344,7.83553,28,2.21849,aflow_912cd1cff7b1044b.poscar
O4S1Sr1,aflow:36fd7ae7f0628abf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O4S1Sr1_ICSD_23744,216,cF24,2.03149,3.73259,402.943,16.5108,49.3944,14.1191,6,3.24891,aflow_36fd7ae7f0628abf.poscar
N6Rb2,aflow:7bafcd91e2563088,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/N3Rb1_ICSD_25007,140,tI16,2.03176,4.99295,455.035,21.5129,17.2097,9.32047,8,2.6758,aflow_7bafcd91e2563088.poscar
Se4Ta1Tl3,aflow:2f276b6fcbc132d3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Se4Ta1Tl3_ICSD_52431,217,cI16,2.03373,0.953436,151.994,23.712,19.5611,7.30807,8,7.07249,aflow_2f276b6fcbc132d3.poscar
Na2O4,aflow:2d7e4e8b51a2f707,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Na1O2_ICSD_180562,58,oP6,2.03472,3.22926,460.793,16.1232,32.473,14.893,6,2.19611,aflow_2d7e4e8b51a2f707.poscar
Ba6Bi2N2,aflow:95ba55b28f7c6bc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ba3Bi1N1_ICSD_152055,194,hP10,2.03522,0.933655,161.984,29.5917,24.7958,10.8174,10,5.92769,aflow_95ba55b28f7c6bc1.poscar
Ba1Te1,aflow:f92c7225e1387152,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ba1Te1_ICSD_29152,225,cF8,2.03554,3.48875,169.039,5.91196,28.4333,16.5656,2,4.94076,aflow_f92c7225e1387152.poscar
Ca3N1Pb1,aflow:d9c1f3b80255120b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ca3N1Pb1_ICSD_106351,221,cP5,2.03597,0.877301,163.942,14.8,18.9278,8.46564,5,2.69547,aflow_d9c1f3b80255120b.poscar
