run,d_spearman,d_spearman_lo,d_spearman_hi,d_recall10_pts,d_recall10_lo,d_recall10_hi,d_mae_log10,d_mae_log10_lo,d_mae_log10_hi,spearman_significant,recall10_significant
r5 huber s5,-0.013538822107366252,-0.03502198916658217,0.008283999814489153,-3.4343181818181816,-13.63636363636364,6.818181818181824,0.0035384171705779457,-0.010374615228275664,0.017794351230556338,False,False
r5 huber s6,-0.006718942474440041,-0.025899546038720644,0.013615734031125318,-4.926136363636363,-15.909090909090917,6.818181818181812,0.006784816669493192,-0.007238146226215617,0.02049801438025764,False,False
r5 huber s7,-0.020647743635731915,-0.04203972151312901,-0.000935166524575178,-3.2118181818181815,-13.636363636363635,6.818181818181824,0.0209208044211939,0.007481509001966986,0.03451746174567945,True,False
r5 huber s8,-0.0009025066624862381,-0.019550139373661794,0.017682187489178595,-4.947045454545455,-15.909090909090907,6.818181818181812,0.00473391020971009,-0.00956913076323131,0.01910788644916433,False,False
r7 mb a=0.4 s42,-0.03538932508313272,-0.05648664881883401,-0.015325838054256684,-7.301136363636363,-18.181818181818187,4.545454545454541,0.02660049936746142,0.011508266606316393,0.04177119264986603,True,False
r7 mb a=0.4 s1,-0.005485193474889055,-0.02660135313959307,0.016868484846475466,-3.3879545454545457,-13.636363636363635,6.8181818181818175,0.008756283441862148,-0.006113854389690458,0.023381010425828932,False,False
r7 mb a=0.4 s2,-0.0162837479507571,-0.038508706965304576,0.00439236429772628,-4.391363636363636,-15.909090909090907,6.818181818181812,0.008111639314448535,-0.0067823187170023445,0.023111161444149465,False,False
r7 af a=0.0 s42,-0.004252895466312641,-0.024860676017995978,0.017394588624156875,-3.4731818181818177,-13.63636363636364,6.818181818181824,0.003858730175172943,-0.009792941682410218,0.017406201038367226,False,False
r7 af a=0.0 s1,-0.0016224055991129432,-0.023534559512532156,0.02161321096442728,-6.042272727272727,-18.181818181818176,4.545454545454552,-0.005174838262468257,-0.01994688900906597,0.00950848791767163,False,False
r7 af a=0.0 s2,-0.004452468452790478,-0.024911131620920724,0.01764011248865401,-2.755,-13.636363636363635,6.818181818181824,-0.007336975583944694,-0.022053909835319217,0.007638028177703092,False,False
r7 af a=0.4 s42,-0.03015644317822668,-0.05593707725144343,-0.004231661120985431,-4.264545454545454,-15.909090909090907,6.818181818181824,0.010471923582766846,-0.005450112307679984,0.02607448090992153,True,False
r7 af a=0.4 s1,-0.024122791093992922,-0.04121760520101807,-0.00717374758052424,-5.8575,-18.181818181818187,6.818181818181824,0.01612084331810313,0.0016307563700758713,0.030571946253129683,True,False
r7 af a=0.4 s2,-0.024318962449044686,-0.04585187639510923,-0.0024119122099005544,-8.264318181818183,-20.45454545454546,4.545454545454541,0.01671166684045083,0.0016455082485812974,0.03194280402414458,True,False
ALIGNN (K+G),0.027220643817985633,0.009088026390199849,0.04792431268858781,-2.2947727272727265,-13.636363636363635,6.818181818181824,-0.002298758971687559,-0.015001513047099296,0.010149477722013474,True,False
tree: decision_tree,-0.10973861197965289,-0.15857764372119734,-0.0634569621210402,-19.237727272727273,-34.090909090909086,-4.545454545454552,0.0917977632128427,0.0628218203762186,0.12323161284933482,True,True
tree: random_forest,-0.01811466361069929,-0.04791006010169765,0.011647312696630902,-9.934090909090909,-22.72727272727272,2.2727272727272707,0.0012054605060892647,-0.015965105560033242,0.018145468693432094,False,False
tree: xgboost,-0.014132243205055338,-0.04406453130466756,0.016849095932269288,-7.183863636363635,-20.454545454545446,4.545454545454552,-0.016155256858927554,-0.03425574458152771,0.0020123693502404464,False,False
