rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
200,ab12c3e3c5,Cs2VFeSe4,8,C2,monoclinic,0.4319,0.5593,0.5593,0.008,0.4616,14.9463,1868.79,wide,False,ab12c3e3c5,35.1106549576086,14.151071049211062,2.125366119326848,0.9446154824796068,37.52344,10.41782,2.125161,0.6008600094318814,0.9446154824796068,0.4239223551041587
201,01be320754,K4HgP2Pd,8,C2/m,monoclinic,0.6141,0.8812,0.8812,0.0163,0.5623,15.5258,950.11,wide,False,01be320754,17.90977114362601,9.75090720903879,2.198116152025941,0.4962540886419472,19.259571,8.965955,2.2756863,0.4063458933856747,0.4962540886419472,0.2699534745082257
202,31090ae2c2,NbAg3Te3Se,8,R3m,trigonal,0.5777,0.9555,0.9555,0.0171,0.5586,17.6928,1035.0,wide,False,31090ae2c2,49.87971706527704,19.48247114793192,2.268977076263973,1.1489227498066787,40.07984,14.032275,2.33014,0.6620302701502261,1.1489227498066787,0.2967916329322061
203,38731d0243,ErMoBr6,8,P-31m,trigonal,0.1352,0.1368,0.1368,0.0007,0.1262,18.5696,25019.66,wide,False,38731d0243,7.345993895373108,5.171362253591818,2.182252447940642,0.2229557493149513,9.310769,4.152914,2.2129085,0.1572998477259769,0.2229557493149513,0.0663806010212759
204,d27f5bfdf5,Rb4LiAgBi2,8,C2/m,monoclinic,0.7007,0.3895,0.7007,0.0113,0.7388,21.7213,1915.27,wide,False,d27f5bfdf5,11.347677206880032,6.297200635384327,2.029071355210295,0.3205021421693073,10.978671,6.589654,2.0385127,0.3392212833981379,0.3205021421693073,0.1492918274445651
205,aae81fd339,VAg2Te4Au,8,P-42m,tetragonal,0.5119,0.6249,0.6249,0.0106,0.4956,24.7053,2331.36,wide,False,aae81fd339,50.690749761245485,18.98150181736549,2.2937230129462174,1.017064384915885,31.29669,14.796393,2.361552,0.6508925393329821,1.017064384915885,0.3168045464561486
206,58b21591dd,Cs5AgSb2,8,R-3m,trigonal,0.5493,0.7474,0.7474,0.0021,0.4972,28.8851,13588.61,wide,False,58b21591dd,10.936691688069653,5.087345664463379,2.057477384888466,0.2365232191590635,9.568948,5.6022153,2.1198196,0.2554394122191933,0.2365232191590635,0.4718387737214156
207,44cc9d9400,NbIClO,8,C2,monoclinic,0.9388,0.5908,0.9388,0.013,0.8444,30.3182,2341.15,wide,False,44cc9d9400,56.33929196761891,15.460606621138254,2.139558241220905,0.9623830510362652,52.47146,30.643442,2.0977068,2.7577261113287284,0.9623830510362652,0.232608698114162
208,a0e05c85e7,MoBr5Cl,7,Cm,monoclinic,0.0466,0.0279,0.0466,0.0001,0.0414,30.7686,405984.96,wide,False,a0e05c85e7,4.636118413887639,5.631934361500961,2.203426359615326,0.2483869185120273,4.6058636,4.002402,2.1754854,0.15437643962789,0.2483869185120273,0.0549044705885101
209,d5c92e6693,KRb(AuSe2)2,8,P4/m,tetragonal,0.5886,0.4146,0.5886,0.0044,0.5214,32.0804,7316.1,wide,False,d5c92e6693,23.115913823977078,11.71727962011553,2.270133683590577,0.5019626675301442,21.58024,13.402173,2.3514714,0.563337678639883,0.5019626675301442,0.3131921942378323
210,b7058e307d,Cs3GePPt3,8,R3m,trigonal,0.9889,0.8113,0.9889,0.0155,1.0422,34.7448,2235.79,wide,False,b7058e307d,20.64632913457584,10.105101705296043,2.3053313039963146,0.3793287009104362,30.147589,11.211345,2.3744807,0.4160779401896052,0.3793287009104362,0.1689623324200794
211,c9edccbfa0,K2NiAuO4,8,Amm2,orthorhombic,0.9416,0.9623,0.9623,0.0138,1.0064,42.3525,3063.94,wide,False,c9edccbfa0,40.54171819337766,23.14672951920273,2.18326514476709,1.491887760334714,45.810165,22.951149,2.2698379,1.3549975182834355,1.491887760334714,0.7354689072439219
212,4a690634b6,Cs4LiAgBi2,8,C2/m,monoclinic,0.5198,0.8032,0.8032,0.0018,0.5395,44.6477,24862.58,wide,False,4a690634b6,11.138164268122544,5.558934727489829,2.024520623236081,0.2652157800498262,9.979778,5.976534,2.0341358,0.2915698663568593,0.2652157800498262,0.3126782823577906
213,3d26d1d90b,Rb2Os(OF2)2,9,I4/mmm,tetragonal,0.5622,0.7117,0.7117,0.0032,0.471,48.628,15031.8,wide,False,3d26d1d90b,17.766696559086427,7.903660723550496,2.273981228350464,0.2500524393908478,18.400303,9.41023,2.2720578,0.3244698217600001,0.2500524393908478,0.1729499752551606
214,1268bfe16d,Cs4ZnAsP,7,R3m,trigonal,0.6387,0.9305,0.9305,0.0032,0.5489,50.3592,15616.51,wide,False,1268bfe16d,12.994128294872482,6.870217817525762,2.062724870619724,0.4378857760040915,11.49364,6.7527494,2.112341,0.4050318665819848,0.4378857760040915,0.3681182252302746
215,e0c1138cc8,VCu(AgTe2)2,8,P-42m,tetragonal,0.9844,0.605,0.9844,0.0129,0.9482,65.2522,5071.3,wide,False,e0c1138cc8,46.95631509594833,17.864674875666935,2.2598700383526213,0.9694638309211762,33.953663,16.727232,2.3111138,0.8299189975465959,0.9694638309211762,0.3378306862682861
216,0dc1615079,NbCu(AgSe2)2,8,P-42m,tetragonal,0.9444,0.728,0.9444,0.0096,0.9612,71.6734,7483.42,wide,False,0dc1615079,59.74103266054093,19.61930851839461,2.224036601399773,1.1805558935126892,49.215034,19.048754,2.2630553,1.0828285191118827,1.1805558935126892,0.3788980460094585
217,78a4012a48,Cs4NaAgBi2,8,C2/m,monoclinic,0.8545,0.6783,0.8545,0.0016,0.6356,123.6677,77190.06,wide,False,78a4012a48,11.128028636606029,5.350373160458689,2.0321159120423338,0.255698324846011,10.037266,5.377574,2.0432534,0.2541658533673177,0.255698324846011,0.2749434850565623
218,ddfd779509,NbAg2OF5,9,Cm,monoclinic,0.1417,0.7294,0.7294,0.0003,0.159,209.8671,634511.81,wide,False,ddfd779509,70.77851384446622,30.2742039020117,2.1591992955123374,1.9096480700758,70.346596,30.423054,2.276405,1.7105869472868327,1.9096480700758,0.4945531517019823
