rank,material_id,formula,n_atoms,space_group,crystal_system,kappa_CGCNN,kappa_ALIGNN,kappa_worse_of_two,kappa_p05_recal,kappa_p50_recal,kappa_p95_recal,p95_p05_ratio_recal,confidence,clears_p95_threshold,gnome_source_id,K_baseline_rf,G_baseline_rf,gamma_baseline_rf,Kappa_baseline_rf,K_baseline_xgb,G_baseline_xgb,gamma_baseline_xgb,Kappa_baseline_xgb,Kappa_baseline,Kappa_baseline_vs_r9_ratio
59,4c996b9ceb,EuPtCl6,8,C2,monoclinic,0.118,0.4163,0.4163,0.0062,0.119,1.7894,287.04,wide,False,4c996b9ceb,23.42887261268491,11.572017011923682,2.2651428023860003,0.6378576323929307,27.89301,10.424648,2.2562466,0.5535130138351211,0.6378576323929307,0.117272040454785
60,20ff0e5d0c,Er2TeBr5,8,P1,triclinic,0.4669,0.1532,0.4669,0.1016,0.4814,1.8163,17.88,wide,False,20ff0e5d0c,22.27678006028949,11.722605797754476,2.144450880104898,0.7301874860222437,27.845549,12.278648,2.2529373,0.7050631217847017,0.7301874860222437,0.2753333632275467
61,a9692b8038,K3AsPAu3,8,R3m,trigonal,0.3629,0.3739,0.3739,0.0713,0.3778,1.8405,25.81,wide,False,a9692b8038,25.223847147874373,11.897883969038578,2.2957484766752803,0.484744482536068,26.085941,10.742442,2.3556602,0.3928335418380457,0.484744482536068,0.1766369737233488
62,9a57fc02a9,CoF8,9,C2/m,monoclinic,0.0897,0.1439,0.1439,0.0034,0.0925,1.8582,540.21,wide,False,9a57fc02a9,23.12743315006994,16.7026532359847,2.190502542256388,1.1562550398399345,29.447182,12.115979,2.0934663,0.7975930182613284,1.1562550398399345,0.4294479565448864
63,8bf26c7bed,Rb3Cu2AgAs2,8,C2/m,monoclinic,0.5391,0.6002,0.6002,0.1507,0.5526,1.8617,12.35,wide,False,8bf26c7bed,22.266159958419653,12.55484435817747,2.216133254831754,0.6548041938688762,25.348797,12.332482,2.2579725,0.6134609127475796,0.6548041938688762,0.2075389652984265
64,6d7bbbcb8c,Rb2Li2ZrTe4,9,C222,orthorhombic,0.6956,0.8531,0.8531,0.1803,0.6629,1.9266,10.68,wide,False,6d7bbbcb8c,14.947664893868854,9.8020435897416,2.128586695839485,0.5249381675250664,14.164111,10.801243,2.0715787,0.640374910181037,0.5249381675250664,0.8005368972748291
65,1d21b4ae34,NaGaBr6,8,P1,triclinic,0.1063,0.0502,0.1063,0.0038,0.1026,1.9469,519.15,wide,False,1d21b4ae34,4.74967167659482,4.102959581956084,2.204362064218369,0.1741403612467363,8.83152,2.752017,2.2156298,0.0968006011372581,0.1741403612467363,0.0485619973096151
66,055fd62418,CsK2Cu2AgAs2,8,C2/m,monoclinic,0.872,0.439,0.872,0.3572,0.8711,1.9758,5.53,wide,False,055fd62418,23.917870653343574,13.497842331478829,2.206506246384808,0.7297898450901333,21.349556,13.643,2.2760801,0.6896590856365237,0.7297898450901333,0.2166468632685056
67,bcb3257dd0,Cs3Cu2AgP2,8,C2/m,monoclinic,0.512,0.4183,0.512,0.1143,0.5111,1.9914,17.42,wide,False,bcb3257dd0,22.54011446726287,10.604481241243992,2.213353055981621,0.5088872613099706,20.831724,9.880228,2.201868,0.4628580719416209,0.5088872613099706,0.1709977014669711
68,ce4bc117e8,ErZrBr6,8,P-31m,trigonal,0.3039,0.2907,0.3039,0.0264,0.3051,2.0102,76.24,wide,False,ce4bc117e8,6.665071632243436,3.4270692940414262,2.1297345256711453,0.123224534093192,7.5487113,2.6319566,2.1358392,0.0831033031055497,0.123224534093192,0.0429186692113462
69,19509b7273,KRbHf(AgTe2)2,9,P2,monoclinic,0.6592,0.5419,0.6592,0.1636,0.6448,2.0492,12.53,wide,False,19509b7273,12.437149933087854,9.529715896854556,2.2052419988956067,0.3926449184260346,17.684908,10.344749,2.214873,0.4428126781667073,0.3926449184260346,0.394069041133199
70,aad189367e,ZrGeBr6,8,P312,trigonal,0.1339,0.1845,0.1845,0.006,0.14,2.1097,349.82,wide,False,aad189367e,2.4437750181983264,1.6795777499302549,2.124674373836453,0.0419031901554664,3.6701121,1.4703171,2.1731706,0.0331068666994699,0.0419031901554664,0.010952300049477
71,10d40a0dce,CoIrBr6,8,C2,monoclinic,0.1021,0.0521,0.1021,0.0043,0.1003,2.1493,495.56,wide,False,10d40a0dce,5.667240845627737,4.545679639867789,2.3133599703240364,0.1165767214803451,10.887402,4.1589065,2.1290243,0.1248227296785527,0.1165767214803451,0.0256438268908512
72,35c885b13e,ZrSnBr6,8,R3,trigonal,0.1671,0.0491,0.1671,0.0055,0.1425,2.176,398.75,wide,False,35c885b13e,3.1802137829883232,1.9519705551476785,2.164952612819062,0.0516902759486904,3.6623728,1.7861183,2.1805098,0.0447882466134842,0.0516902759486904,0.0142316635863488
73,eec4222682,Cs2Ni(PdSe2)2,9,Fmmm,orthorhombic,0.2663,0.2303,0.2663,0.0251,0.2834,2.1798,86.91,wide,False,eec4222682,14.778138565339168,10.370823656191025,2.2292038994950194,0.4223569496144075,19.12556,12.457622,2.3072517,0.515267291161368,0.4223569496144075,0.1230762063082361
74,a204f466ca,EuZrCl6,8,R3,trigonal,0.1264,0.0834,0.1264,0.0072,0.1359,2.2238,308.98,wide,False,a204f466ca,21.359750931074945,7.93546102181887,2.107154687190174,0.540233778205378,29.673008,8.471325,2.0818706,0.6140128114732356,0.540233778205378,0.1548038235757955
75,e7a5db403b,CeErBr6,8,C2,monoclinic,0.3301,0.5332,0.5332,0.0401,0.3262,2.2494,56.04,wide,False,e7a5db403b,9.147981704937877,6.5889707783917535,2.175915287732563,0.3049642276894089,12.228415,5.139904,2.175654,0.2128490059829151,0.3049642276894089,0.1005071045818881
76,1f933cd457,Cs2Pd2PtS4,9,C2/m,monoclinic,0.262,0.4039,0.4039,0.0274,0.2572,2.2774,83.17,wide,False,1f933cd457,15.7295773674141,11.841523029922945,2.187902956826343,0.5178662859034612,22.33379,13.483565,2.2780035,0.5782218681404623,0.5178662859034612,0.1340177798610698
77,1c8b7bc6ec,KSe6Br,8,P1,triclinic,0.1149,0.8991,0.8991,0.0041,0.1165,2.2994,556.84,wide,False,1c8b7bc6ec,22.169048049549342,10.897304656926991,2.2045675908557807,0.6918663701534905,19.559494,10.4202795,2.1718616,0.6672104542240473,0.6918663701534905,0.5832613867776948
78,9929ca07be,CsK2Cu(AgP)2,8,C2/m,monoclinic,0.9505,0.3092,0.9505,0.3416,0.9404,2.3069,6.75,wide,False,9929ca07be,23.580195392753303,13.013414564121367,2.2159014700563264,0.6977725951097135,18.55246,10.429331,2.2353947,0.490744430726618,0.6977725951097135,0.1851809355691227
79,c0e352a557,K3Ag(PAu)2,8,C2/m,monoclinic,0.5809,0.4384,0.5809,0.1329,0.585,2.3119,17.4,wide,False,c0e352a557,24.057193231237072,12.776863987619151,2.248471316979328,0.6015475460059392,21.786171,12.312039,2.3370056,0.5200455042315142,0.6015475460059392,0.1879405376275804
80,801c8bda45,K3ReO4,8,C2,monoclinic,0.9641,0.9459,0.9641,0.3355,0.9362,2.367,7.05,wide,False,801c8bda45,37.59589144135022,15.612627307983727,2.108306041263992,0.9535050437071548,32.75315,17.460867,2.2133138,1.00972234768488,0.9535050437071548,0.3448920961207524
