material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,ALIGNN_is_low_kappa_candidate,alignn_prediction_reliable,family
50426db9ff,MnNbOF5,8,133.7278139781779,3.2140436131514294,258.835841,46.86614346557282,28.721419390649302,0.2059375254574308,0.0358741697257657,0.2455577173020375,1.478901979144993,4.625999315190171,1.8218313617297293,4.560848673068126,9.187809393336105,False,43.63588333129883,21.15562438964844,2.3102894951650352,False,True,other oxide (mixed-anion / molecular-ion)
e733552a77,Rh2OF5,8,99.80160030854466,5.271085706740983,316.802416,61.998151851778246,38.591172055446215,0.0476534589467183,0.00515864247721,0.2422508345748189,1.4634831462955222,5.180516417261563,4.305420684910255,5.192843455679998,6.107891919070409,False,64.05072021484375,40.24058151245117,5.5656028906699015,False,True,other oxide (mixed-anion / molecular-ion)
7cf1812d31,DyErZn2(PO)2,8,132.5524355304221,6.946742550935994,554.523324,108.1505392121355,52.77762694049533,0.0224405570911236,0.0500762834580797,0.290137054459986,1.7131946766404893,6.215990243382135,3.8783501138666487,6.271753039636378,10.14502853374206,False,97.35616302490234,49.52873992919922,5.899123065035532,False,True,other oxide (mixed-anion / molecular-ion)
387c9e89d1,DyTmZn2(PO)2,8,131.80896860326288,7.007029988702647,556.198534,110.34225496222732,53.788619706891936,0.0211793346191402,0.0504224447599955,0.2903334097581575,1.7143494310839662,6.348770724531171,3.801685727052016,6.358539569234511,10.464331884631688,False,97.99400329589844,51.52034759521485,6.432574596151806,False,True,other oxide (mixed-anion / molecular-ion)
a6edd3a28d,NbSb(O2F)2,8,118.265010718344,4.446180693835342,316.6607864,42.86975168177269,41.88979748578853,0.0830384372597492,0.1019558842108632,0.1314660093655418,1.0570484115912948,10.018369206269124,3.6367355411033584,9.697588138448468,23.430881049110138,False,51.09851837158203,38.42584609985352,7.067981102826183,False,True,other oxide (mixed-anion / molecular-ion)
ddfd779509,NbAg2OF5,9,145.04003876690055,4.804321503476135,419.634196,47.624110959537,8.342847384274924,0.0806009583204509,0.1817361022009627,0.4172419656898437,2.841021679367547,0.1416843815485321,0.0262012212467625,0.1343960914587737,0.8700388402702852,True,40.55490493774414,14.680231094360352,0.7294016701091176,True,True,other oxide (mixed-anion / molecular-ion)
198468c59e,V(OF3)2,9,128.5474611956122,2.5438942944543816,196.9307192,6.24544631054811,3.820818604056623,0.1325945574515759,0.1215771096923182,0.2459241973633341,1.4806256656552186,0.2209559334425295,0.0623068694557536,0.2257354879529509,0.6949024509376537,True,8.888897895812988,5.357105255126953,0.3615272691140203,True,True,other oxide (mixed-anion / molecular-ion)
28362a88b3,Cs2RuOF5,9,197.78041007368003,4.012154978785394,477.8723198,26.53454920792516,8.559582052870217,0.163187870506225,0.0586529219317951,0.3543681631628513,2.16838721282298,0.347092655709403,0.1458713376076358,0.3465101838732158,0.8152837935675749,True,17.312646865844727,7.415807723999023,0.38137465473323,True,True,other oxide (mixed-anion / molecular-ion)
2c8d4b19df,Rb2IrOF5,9,173.81992324805017,4.529599646290612,474.144016,18.659174292854544,8.689897887988083,0.0895519869455482,0.0629786863740483,0.2984325541753442,1.7630530552841466,0.4765432878384605,0.2302435442583534,0.4685960466902926,0.9078474735634392,True,14.67652988433838,9.177075386047363,0.6961178209184612,True,True,other oxide (mixed-anion / molecular-ion)
3d26d1d90b,Rb2Os(OF2)2,9,174.23923408493758,4.4711813263108,469.1580128,23.35490380882296,10.143146003151823,0.0794826064286583,0.1218592322999118,0.3103088713212659,1.8384737031657263,0.562224369633318,0.1547375593376704,0.5741265786796494,1.7164352792592203,True,15.537732124328612,9.440876960754396,0.7116654771552492,True,True,other oxide (mixed-anion / molecular-ion)
4212cc1a82,Zn2InBCl2O3,9,197.26837301062093,3.1595806395810184,375.3512,38.31014738170515,11.596109271031244,0.0530531114188737,0.0270115339434036,0.3625255828767723,2.239956479898038,0.5742912765375695,0.4039779806592783,0.572963746140573,0.8126275953490244,True,32.63093948364258,13.470681190490724,1.0104127402197198,False,True,other oxide (mixed-anion / molecular-ion)
b52c3705f5,Cs2Te(OF2)2,9,189.0866464945939,4.403271261803082,501.4033166,23.98186377479653,10.815774330108134,0.0765609610805967,0.0551235233236908,0.3039705922339317,1.7976078101663655,0.6672588542316138,0.3619427425309266,0.6577134949939079,1.2026028153717463,True,22.718795776367188,7.906653881072998,0.3150778718291801,True,True,other oxide (mixed-anion / molecular-ion)
7b2a583a1e,Rb2Te(OF2)2,9,164.83534285889078,4.095333174043256,406.5280128,24.035291917083857,12.181411411310409,0.0264704695820391,0.0630506256679849,0.2832162152552755,1.6732490606440258,0.8922868960159436,0.4990617428157888,0.8885584864924305,1.614254341338151,True,35.073970794677734,9.59460163116455,0.3196480147649813,True,True,other oxide (mixed-anion / molecular-ion)
1924ce28d2,Ba2Sb2Se3O2,9,246.41794760643063,5.303720513857459,787.0528,36.17668135380301,15.447017588501598,0.0114731963851014,0.0128910590665091,0.3131063434284167,1.856976387228224,1.069386647291361,0.929161960124072,1.0700738729584578,1.22129116776517,False,31.75380516052246,13.045465469360352,0.7962998013681052,True,True,other oxide (mixed-anion / molecular-ion)
d248fda41d,K2Te(OF2)2,9,148.21719527238116,3.515509210619452,313.7890128,31.63322340604877,14.737088513784435,0.1171327767785625,0.0750185607436655,0.2983738936981308,1.7626926035405182,1.133235076573216,0.4817057609653704,1.1260511514359623,2.5765770769192464,False,41.176753997802734,16.75920867919922,1.1901286178061876,False,True,other oxide (mixed-anion / molecular-ion)
d53be0a61f,Ba2Sb2Se2SO2,9,237.5228448713508,5.174495719481509,740.1578,38.56588103520157,16.35088070986246,0.0159569067727034,0.0186558479124261,0.314262815243067,1.8647111970170904,1.155897106336091,0.9611131284454112,1.1516137824932358,1.3930595439347473,False,36.4271354675293,13.734956741333008,0.783905747546904,True,True,other oxide (mixed-anion / molecular-ion)
76bfc0ee60,Sr2Bi2Te3O2,9,263.4406522464029,6.353699411927366,1007.9996,30.5232283341894,17.58747829602933,0.0365309041804772,0.0582522971131729,0.2583189536367976,1.540744460523961,1.6538979057826066,0.9343725666002136,1.63415291818125,2.793727655769988,False,39.241790771484375,18.925413131713867,1.5407442839066303,False,True,other oxide (mixed-anion / molecular-ion)
e39b32b82f,Ba2Bi2S3O2,9,230.4888919412629,5.913450912649046,820.8086000000001,37.14595086656616,19.407693303941848,0.0210408557611146,0.0124799092804357,0.2775121823607842,1.6413946567253694,1.7226849904392447,1.4912672750207274,1.7208284200053958,1.9834197550916028,False,41.29896926879883,15.21639347076416,0.8254611915579818,True,True,other oxide (mixed-anion / molecular-ion)
227d88029e,Ba2Bi2Te3O2,9,283.4171960632256,6.488327362617461,1107.4136,27.739271308348737,17.134143508653786,0.0472599810233663,0.0279365381383912,0.2438892481996596,1.4710923453646223,1.7259958420546426,1.2639695328457332,1.7354842714280108,2.3611415138105047,False,34.681182861328125,14.776358604431152,0.9455532624652728,True,True,other oxide (mixed-anion / molecular-ion)
dba15e3146,Ca2Bi2S3O2,9,202.08562139808828,5.146398904501995,626.3106,39.932372581963264,19.84760163368268,0.0156455228718184,0.0377810937530973,0.2868060992009193,1.6937874175594083,1.7365268343526046,1.2025113745002385,1.7546556816236871,2.527038215127104,False,47.88446807861328,22.91551399230957,2.0712455204131244,False,True,other oxide (mixed-anion / molecular-ion)
e4f4889e2f,Sr2Bi2S3O2,9,210.66617561192223,5.686266026942213,721.3946000000001,43.33405959191855,21.10655301462406,0.0336308364401092,0.0443155323026931,0.2904831233323096,1.7152306981505971,1.7988276988246297,1.1608787025627578,1.766079685844724,2.77783056109673,False,51.85252380371094,21.27635383605957,1.5182364266923332,False,True,other oxide (mixed-anion / molecular-ion)
5142165b59,SnTePbO6,9,137.92638545324976,6.615680116774071,549.5064,65.04131419778408,28.65203454338004,0.0868125103052965,0.0149203905546829,0.3079416192703765,1.823041949208344,2.060842789776201,1.3842213850788854,2.069553440731104,2.999463268405899,False,79.74811553955078,31.962934494018555,2.1941389993596383,False,True,other oxide (mixed-anion / molecular-ion)
94f3d61989,RbTeAuO6,9,158.34267001189983,5.306743039870314,506.030769,47.9802668047508,24.42470815913168,0.0806305222380399,0.0508562038782888,0.2823956786093818,1.668608506060585,2.205904375556736,1.2144727118642211,2.212682422967508,3.835675839176405,False,40.68527603149414,20.60186195373535,1.699578439671905,False,True,other oxide (mixed-anion / molecular-ion)
