material_id,formula,n_atoms,K_alignn,G_alignn,Kappa_alignn,alignn_prediction_reliable,Kappa_r9_gamma,K_r9_pred,G_r9_pred
5a6a9aa58b,CsMn2Cl7,20,6.843382358551025,3.2721800804138184,0.10379168124389958,True,2.907232103316645,106.24135367655158,40.767900169859615
86ce1020f3,LaSm5RuBr10,17,12.12131404876709,9.163277626037598,0.6376712313833519,True,2.162637727798648,95.3526211334742,37.101532319703175
879a7fd76c,Nb2SbCl15,36,2.5376172065734863,1.6386191844940186,0.036876034880374116,True,2.232291455677984,106.55403979694016,41.00224079081673
1604c0f8e0,Dy5Ho2FeBr12,20,15.158361434936523,9.498997688293457,0.4647231650456426,True,1.7468508203136526,113.56457402122338,36.207964821115695
c3f218b8bc,PrNdSm4RuBr10,17,11.85876178741455,9.418633460998535,0.6939390002770891,True,2.152188174366052,96.8524182224108,37.08153297603661
4c70120159,VSbCl10,24,1.7422828674316406,0.6077505946159363,0.005661821546813638,True,2.524589202044987,106.26399076853534,37.27119382228988
909472f3ed,SrNd6ReBr12,20,9.611587524414062,10.087970733642578,0.9100344428546135,True,1.8699393629885075,79.42298453531566,35.480257233129386
6154e72e22,Sm6OsBr10,17,13.51065731048584,9.670319557189941,0.6376092520696254,True,2.1260109192923524,101.63396095969122,37.40601659519879
0546d544c4,Sm6LuCoBr12,20,13.60998249053955,10.339611053466797,0.6735082804474195,True,2.06785403337952,108.48725841580304,37.98533409914836
f5da5e100f,TaOs2Cl15,36,3.061736583709717,0.7404729723930359,0.003250244223289939,True,2.140218842007635,128.384357938163,45.26282454750658
4809ac6683,Rb3Cu(AgP)2,8,25.377910614013672,9.163542747497559,0.49786496212635095,True,3.717538504633058,90.66826333550291,37.0027639729661
9646a3b339,Tb2PrHo3CoBr10,17,14.411038398742676,8.7066011428833,0.4516957215998208,True,1.9549038409642816,110.64181339188464,35.21840944434341
30a2ff0752,SmY2CBr5,18,13.68266773223877,9.491927146911621,0.5914205654525386,True,2.1137641963808043,105.69790240562214,37.5118191370555
1f66734223,K3CuAgP2Au,8,27.193592071533203,9.75911808013916,0.5250803115343602,True,3.18554302519715,117.2185594307624,34.339215083114325
15c2b144b5,TaFe2SbCl16,20,-0.02564185857772827,-0.17897087335586548,,False,2.7044412654833416,87.83185069244354,35.45730993012811
3419e43c1c,Ta2Nb3SbCl30,36,2.8889758586883545,1.729137897491455,0.03536311456027251,True,2.244292928819973,111.88994256324445,42.54761451560281
5ce1a32957,Pr4Tm2FeBr10,17,13.771525382995605,9.962084770202637,0.6925996543101007,True,2.2079836363181338,97.48732560394454,37.608154072086215
64e9b0fd36,TaNbSbCl15,36,2.6235411167144775,1.7433749437332153,0.03887362277026584,True,2.341538458191549,121.77030598432732,44.11395069810504
dad1fe403a,Pr4NdSmCoBr10,17,11.469061851501465,9.285277366638184,0.7115882387809169,True,2.166085754157595,99.02733154108412,36.17321259806212
8a5dc09f22,NbSb2(RuCl10)3,36,3.1450448036193848,1.2954999208450317,0.015595568637937266,True,2.433662092143692,125.38664533293472,44.51389882836429
27a644f761,La2Pr4OsBr10,17,13.67318058013916,8.981843948364258,0.570735632564844,True,2.3544843886572786,89.89590961236713,38.71136195484873
2d8bc8a0e2,CaSm6MnBr12,20,10.84953498840332,8.621736526489258,0.555597661812205,True,2.069500502050069,112.1871433174756,36.922067723441394
5136a39cf7,Sm2Tm4FeBr10,17,13.874646186828613,10.552994728088379,0.7218898489236408,True,1.8251594968706124,108.44357701801694,34.88999973899475
73c8b924d6,LaTb4Dy2MnBr12,20,14.146849632263184,9.684768676757812,0.541961031084767,True,1.7182417659174842,114.21272985639573,34.44388391019783
66adc45a85,Pr2Nd3TmCoBr10,17,11.469069480895996,9.568869590759277,0.7576429566911178,True,2.2881793061791766,97.37431993881157,37.59512864590879
9d3123c5e1,Er5Sc2PBr12,20,19.32013702392578,10.33620548248291,0.43965187749833456,True,1.94398802526536,132.33848863522667,40.178339607675966
